# Mean DMX value = +1.556100e-05 
# Uncertainty in average DM = 1.49843e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53358.7530 -2.3084180e-03 2.609e-05 53358.6775 53358.8285 DMX_0001 
53420.5675 -2.2351388e-03 3.818e-05 53420.4989 53420.6361 DMX_0002 
53448.4966 -2.3342066e-03 2.739e-05 53448.4237 53448.5695 DMX_0003 
53449.5204 -2.2381927e-03 6.940e-05 53449.4627 53449.5781 DMX_0004 
53450.4797 -2.2749195e-03 4.541e-05 53450.4170 53450.5425 DMX_0005 
53451.4949 -2.3162850e-03 3.831e-05 53451.4307 53451.5591 DMX_0006 
53453.4890 -2.2506938e-03 3.568e-05 53453.4215 53453.5566 DMX_0007 
53454.4641 -2.2943146e-03 3.071e-05 53454.3995 53454.5287 DMX_0008 
53456.4878 -2.2482003e-03 4.081e-05 53456.4219 53456.5536 DMX_0009 
53457.4787 -2.3080861e-03 3.987e-05 53457.4145 53457.5429 DMX_0010 
53477.4154 -2.3594458e-03 2.514e-05 53477.3463 53477.4845 DMX_0011 
53532.2546 -2.3433168e-03 2.318e-05 53532.1828 53532.3265 DMX_0012 
53603.0630 -2.2031766e-03 2.969e-05 53602.9863 53603.1396 DMX_0013 
53628.9743 -2.2877640e-03 3.922e-05 53628.9153 53629.0333 DMX_0014 
53686.8198 -2.2055226e-03 2.559e-05 53686.7476 53686.8920 DMX_0015 
53715.7487 -2.2257103e-03 2.588e-05 53715.6806 53715.8167 DMX_0016 
53750.6450 -2.1326359e-03 2.745e-05 53750.5727 53750.7172 DMX_0017 
53798.5201 -2.1365712e-03 3.099e-05 53798.4511 53798.5891 DMX_0018 
53851.3880 -2.0479905e-03 2.384e-05 53851.3218 53851.4542 DMX_0019 
53891.2662 -2.0119995e-03 2.346e-05 53891.1973 53891.3351 DMX_0020 
53926.1777 -1.8570585e-03 3.522e-05 53926.1132 53926.2422 DMX_0021 
53968.0762 -1.7226287e-03 2.747e-05 53968.0073 53968.1451 DMX_0022 
54008.9700 -1.5436764e-03 2.835e-05 54008.9038 54009.0363 DMX_0023 
54043.8546 -1.5661314e-03 2.358e-05 54043.7868 54043.9224 DMX_0024 
54092.7275 -1.4433522e-03 2.248e-05 54092.6626 54092.7924 DMX_0025 
54135.5972 -1.3625967e-03 3.230e-05 54135.5328 54135.6617 DMX_0026 
