# Mean DMX value = -3.805011e-04 
# Uncertainty in average DM = 8.38276e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53271.2232 +2.6528307e-03 1.948e-05 53267.0360 53275.4105 DMX_0001 
53292.6039 +2.7286882e-03 1.957e-05 53291.9474 53293.2605 DMX_0002 
53349.8921 +2.8768018e-03 2.116e-05 53343.7877 53355.9964 DMX_0003 
53420.6238 +3.2554735e-03 7.328e-05 53420.5569 53420.6908 DMX_0004 
53447.5803 +3.1701922e-03 2.261e-05 53446.3555 53448.8051 DMX_0005 
53479.4478 +3.1175218e-03 2.279e-05 53477.4246 53481.4710 DMX_0006 
53629.0066 +2.4474283e-03 1.109e-04 53628.9520 53629.0612 DMX_0007 
53659.9684 +2.2458688e-03 1.062e-04 53659.9052 53660.0315 DMX_0008 
53768.9994 +2.7031480e-03 1.889e-05 53766.4276 53771.5712 DMX_0009 
53799.4058 +2.8138317e-03 1.755e-05 53798.2558 53800.5559 DMX_0010 
53838.7985 +2.8225857e-03 1.735e-05 53838.1527 53839.4443 DMX_0011 
53858.7442 +2.6865044e-03 1.689e-05 53858.0935 53859.3950 DMX_0012 
53889.6540 +2.8075876e-03 1.949e-05 53889.0059 53890.3020 DMX_0013 
53918.5757 +2.7886576e-03 2.015e-05 53917.9259 53919.2255 DMX_0014 
53926.2335 +2.7887241e-03 5.502e-05 53926.1652 53926.3017 DMX_0015 
53968.1279 +2.6379766e-03 6.640e-05 53968.0695 53968.1863 DMX_0016 
53980.9039 +2.7491360e-03 1.981e-05 53979.7570 53982.0508 DMX_0017 
54011.4624 +2.5643677e-03 1.990e-05 54008.9618 54013.9631 DMX_0018 
54036.2372 +2.2918889e-03 1.962e-05 54035.6044 54036.8700 DMX_0019 
54043.9158 +2.2765996e-03 5.368e-05 54043.8489 54043.9828 DMX_0020 
54068.6628 +2.0223310e-03 2.112e-05 54064.5241 54072.8015 DMX_0021 
54101.0740 +2.1632953e-03 2.459e-05 54100.4271 54101.7208 DMX_0022 
54135.0758 +2.1417427e-03 8.015e-05 54134.4328 54135.7187 DMX_0023 
54374.3297 +1.9032505e-03 2.779e-05 54373.6817 54374.9777 DMX_0024 
54429.1840 +1.6024656e-03 1.836e-05 54428.5325 54429.8355 DMX_0025 
54464.0910 +1.6659020e-03 2.115e-05 54462.4518 54465.7301 DMX_0026 
54527.9131 +1.6267557e-03 2.257e-05 54526.2677 54529.5586 DMX_0027 
54552.8462 +1.4640017e-03 2.252e-05 54552.1965 54553.4959 DMX_0028 
54642.6031 +1.0014920e-03 1.755e-05 54640.9547 54644.2515 DMX_0029 
54675.5389 +1.1838344e-03 2.047e-05 54672.8675 54678.2102 DMX_0030 
54709.0114 +1.4432893e-03 1.534e-05 54706.8686 54711.1543 DMX_0031 
54758.3412 +1.6814217e-03 1.744e-05 54751.7648 54764.9176 DMX_0032 
54790.7491 +1.7714095e-03 1.708e-05 54784.6693 54796.8289 DMX_0033 
54819.7852 +1.7797538e-03 5.085e-05 54819.7138 54819.8567 DMX_0034 
54824.1040 +1.7622905e-03 1.829e-05 54820.4639 54827.7441 DMX_0035 
54853.0248 +1.6461634e-03 1.773e-05 54850.3812 54855.6683 DMX_0036 
54862.6537 +1.6395118e-03 6.355e-05 54862.5941 54862.7132 DMX_0037 
54882.9978 +1.7271740e-03 1.863e-05 54880.4093 54885.5863 DMX_0038 
54914.8555 +1.6380176e-03 1.799e-05 54913.2098 54916.5011 DMX_0039 
54925.5038 +1.5879449e-03 5.061e-05 54925.4386 54925.5690 DMX_0040 
54945.2237 +1.6172581e-03 1.683e-05 54942.1304 54948.3171 DMX_0041 
54978.8612 +1.4390191e-03 1.938e-05 54976.3202 54981.4022 DMX_0042 
55004.6096 +1.4781628e-03 1.742e-05 55003.9607 55005.2584 DMX_0043 
55030.5387 +1.4555642e-03 1.898e-05 55029.8901 55031.1874 DMX_0044 
55042.1604 +1.4040608e-03 6.373e-05 55042.1043 55042.2165 DMX_0045 
55069.4321 +1.3733439e-03 1.924e-05 55065.7918 55073.0724 DMX_0046 
55097.8370 +1.2263141e-03 2.246e-05 55094.6951 55100.9789 DMX_0047 
55120.7742 +9.5646491e-04 2.250e-05 55118.6296 55122.9187 DMX_0048 
55156.1981 +7.5049247e-04 2.308e-05 55154.5314 55157.8648 DMX_0049 
55206.6991 +5.2237853e-04 7.275e-05 55206.6425 55206.7557 DMX_0050 
55215.5148 +4.4898543e-04 2.137e-05 55214.3675 55216.6621 DMX_0051 
55244.4352 +4.9407275e-04 2.060e-05 55243.2885 55245.5819 DMX_0052 
55276.8467 +4.7498354e-04 2.332e-05 55275.3006 55278.3927 DMX_0053 
55305.2685 +5.2672622e-04 3.422e-05 55305.2185 55305.3185 DMX_0054 
55359.2025 +3.1368693e-04 3.487e-05 55357.2386 55361.1664 DMX_0055 
55365.1467 +5.1074962e-04 2.467e-05 55365.0967 55365.1967 DMX_0056 
55393.0826 +3.5075054e-04 3.148e-05 55390.0497 55396.1155 DMX_0057 
55430.4711 -1.0966015e-04 1.848e-05 55429.9225 55431.0197 DMX_0058 
55462.8828 -1.6571476e-04 2.068e-05 55461.8358 55463.9298 DMX_0059 
55493.2542 -1.1898861e-04 2.169e-05 55492.7053 55493.8032 DMX_0060 
55521.1782 -2.2141696e-04 1.928e-05 55520.6294 55521.7269 DMX_0061 
55527.8473 -2.5556270e-04 6.161e-05 55527.7913 55527.9032 DMX_0062 
55543.6619 +2.1830253e-05 2.765e-05 55543.6119 55543.7119 DMX_0063 
55579.0645 -2.9363378e-04 2.046e-05 55578.5161 55579.6130 DMX_0064 
55616.9161 -1.6137008e-04 2.779e-05 55616.3674 55617.4647 DMX_0065 
55640.3968 +2.6120957e-05 2.249e-05 55639.3497 55641.4438 DMX_0066 
55672.3089 +1.8856268e-04 1.903e-05 55670.2644 55674.3534 DMX_0067 
55678.3969 +3.4916925e-04 6.159e-05 55678.3395 55678.4543 DMX_0068 
55702.2269 +8.6727541e-04 2.302e-05 55700.1822 55704.2716 DMX_0069 
55732.1912 +1.1363226e-03 2.197e-05 55731.0977 55733.2847 DMX_0070 
55759.1579 +1.2849013e-03 6.384e-05 55759.0988 55759.2170 DMX_0071 
55766.0079 +1.2673454e-03 4.580e-05 55765.9579 55766.0579 DMX_0072 
55773.9854 +1.5984973e-03 2.833e-05 55773.9354 55774.0354 DMX_0073 
55791.0634 +1.3259722e-03 6.749e-05 55791.0008 55791.1261 DMX_0074 
55820.0244 +1.5788069e-03 6.516e-05 55819.9646 55820.0843 DMX_0075 
55828.8350 +1.7425961e-03 4.755e-05 55828.7850 55828.8850 DMX_0076 
55850.9524 +1.4536639e-03 6.439e-05 55850.8937 55851.0111 DMX_0077 
55864.2389 +1.4739898e-03 2.796e-05 55863.6908 55864.7870 DMX_0078 
55877.8753 +1.5001269e-03 5.016e-05 55877.8152 55877.9354 DMX_0079 
55893.1596 +1.4073222e-03 2.240e-05 55892.6107 55893.7085 DMX_0080 
