# Mean DMX value = +1.117559e-04 
# Uncertainty in average DM = 1.44208e-02 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53420.6238 +3.6868492e-03 1.141e-04 53420.5569 53420.6908 DMX_0001 
53629.0066 +2.9429428e-03 9.561e-05 53628.9520 53629.0612 DMX_0002 
53659.9684 +2.7403909e-03 9.454e-05 53659.9052 53660.0315 DMX_0003 
53798.5900 +3.3341992e-03 1.201e-04 53798.5213 53798.6588 DMX_0004 
53926.2335 +3.1083718e-03 8.453e-05 53926.1652 53926.3017 DMX_0005 
53968.1279 +3.0253746e-03 8.295e-05 53968.0695 53968.1863 DMX_0006 
54043.9158 +2.7827968e-03 9.038e-05 54043.8489 54043.9828 DMX_0007 
54135.6558 +2.6492118e-03 1.200e-04 54135.5929 54135.7187 DMX_0008 
54819.7852 +2.4193445e-03 9.880e-05 54819.7138 54819.8567 DMX_0009 
54862.6537 +2.2945371e-03 8.650e-05 54862.5941 54862.7132 DMX_0010 
54925.5038 +2.2409982e-03 8.400e-05 54925.4386 54925.5690 DMX_0011 
55042.1604 +2.0675192e-03 9.908e-05 55042.1043 55042.2165 DMX_0012 
55206.6991 +1.0569799e-03 1.128e-04 55206.6425 55206.7557 DMX_0013 
55357.2962 +8.2558527e-04 1.145e-04 55357.2386 55357.3539 DMX_0014 
55527.8473 +1.4939988e-04 1.016e-04 55527.7913 55527.9032 DMX_0015 
55639.5080 +4.7567045e-04 8.925e-05 55639.4506 55639.5655 DMX_0016 
55678.3969 +8.2054226e-04 8.519e-05 55678.3395 55678.4543 DMX_0017 
55759.1579 +1.7863663e-03 7.424e-05 55759.0988 55759.2170 DMX_0018 
55791.0634 +1.8402758e-03 7.213e-05 55791.0008 55791.1261 DMX_0019 
55820.0244 +2.0813367e-03 6.421e-05 55819.9646 55820.0843 DMX_0020 
55850.9524 +1.9690362e-03 6.291e-05 55850.8937 55851.0111 DMX_0021 
55877.8753 +2.0239489e-03 5.727e-05 55877.8152 55877.9354 DMX_0022 
55910.7796 +1.9864056e-03 5.916e-05 55910.7222 55910.8371 DMX_0023 
55934.7075 +1.8505959e-03 5.809e-05 55934.6475 55934.7675 DMX_0024 
55968.6246 +2.0192887e-03 5.803e-05 55968.5618 55968.6873 DMX_0025 
56020.4763 +2.2581348e-03 2.726e-05 56020.4175 56020.5352 DMX_0026 
56059.3660 +2.3764110e-03 2.680e-05 56059.3059 56059.4260 DMX_0027 
56108.2251 +2.5075019e-03 2.681e-05 56108.1662 56108.2840 DMX_0028 
56139.1949 +2.5119830e-03 2.883e-05 56139.1394 56139.2504 DMX_0029 
56173.1037 +2.4145152e-03 3.338e-05 56173.0475 56173.1598 DMX_0030 
56209.9417 +2.2679644e-03 2.739e-05 56209.8808 56210.0026 DMX_0031 
56250.8740 +2.2121019e-03 2.711e-05 56250.8127 56250.9354 DMX_0032 
56305.7441 +2.0454600e-03 2.847e-05 56305.6941 56305.7941 DMX_0033 
56325.6672 +2.1080721e-03 2.820e-05 56325.6080 56325.7264 DMX_0034 
56345.6238 +2.3199599e-03 2.936e-05 56345.5662 56345.6814 DMX_0035 
56383.5191 +2.2092616e-03 2.894e-05 56383.4624 56383.5758 DMX_0036 
56403.4507 +2.3446494e-03 2.804e-05 56403.3935 56403.5079 DMX_0037 
56425.4011 +2.4026257e-03 2.669e-05 56425.3417 56425.4605 DMX_0038 
56465.2937 +2.6613080e-03 2.557e-05 56465.2339 56465.3535 DMX_0039 
56531.1198 +3.0759901e-03 2.855e-05 56531.0698 56531.1698 DMX_0040 
56532.1253 +3.2211074e-03 1.422e-04 56532.0753 56532.1753 DMX_0041 
56550.0605 +3.1047772e-03 2.011e-05 56550.0026 56550.1185 DMX_0042 
56572.0065 +2.9594861e-03 2.679e-05 56571.9500 56572.0630 DMX_0043 
56593.9347 +3.0575105e-03 1.093e-04 56593.8847 56593.9847 DMX_0044 
56613.8826 +3.1242668e-03 2.803e-05 56613.8227 56613.9425 DMX_0045 
56634.8260 +3.1906419e-03 2.827e-05 56634.7662 56634.8858 DMX_0046 
56669.7317 +3.2582132e-03 2.765e-05 56669.6724 56669.7910 DMX_0047 
56739.5509 +3.3227961e-03 1.196e-04 56739.5009 56739.6009 DMX_0048 
56755.4934 +3.4927559e-03 3.979e-05 56755.4434 56755.5434 DMX_0049 
56844.2527 +3.7985344e-03 2.828e-05 56844.1891 56844.3163 DMX_0050 
56869.1946 +3.6917033e-03 2.866e-05 56869.1446 56869.2446 DMX_0051 
56933.0215 +3.6041279e-03 2.962e-05 56932.9649 56933.0780 DMX_0052 
56970.9240 +3.3592902e-03 7.881e-05 56970.8715 56970.9766 DMX_0053 
57075.6124 +2.2027773e-03 5.441e-05 57075.5588 57075.6659 DMX_0054 
57095.5496 +1.9844906e-03 2.861e-05 57095.4960 57095.6032 DMX_0055 
57117.5104 +1.7831331e-03 2.816e-05 57117.4567 57117.5641 DMX_0056 
57138.4359 +1.4475514e-03 2.781e-05 57138.3822 57138.4895 DMX_0057 
57185.3026 +1.3769694e-03 2.672e-05 57185.2489 57185.3563 DMX_0058 
57201.2594 +1.2880658e-03 2.850e-05 57201.2057 57201.3131 DMX_0059 
57242.1470 +1.0305519e-03 2.973e-05 57242.0933 57242.2007 DMX_0060 
57265.0832 +1.0126963e-03 2.867e-05 57265.0298 57265.1366 DMX_0061 
57327.9297 +4.1587004e-04 2.787e-05 57327.8761 57327.9834 DMX_0062 
57348.8544 +4.3018593e-04 3.073e-05 57348.8007 57348.9080 DMX_0063 
57376.7941 -3.7183713e-05 2.706e-05 57376.7404 57376.8477 DMX_0064 
57410.6490 -2.2211091e-04 2.689e-05 57410.5954 57410.7026 DMX_0065 
57433.5867 -3.1320914e-04 3.092e-05 57433.5331 57433.6403 DMX_0066 
57508.3923 -4.2045608e-04 2.853e-05 57508.3387 57508.4459 DMX_0067 
57536.3153 -5.2863378e-04 2.771e-05 57536.2617 57536.3689 DMX_0068 
57557.2377 -5.7875822e-04 2.741e-05 57557.1841 57557.2912 DMX_0069 
57579.1809 -5.7347758e-04 2.841e-05 57579.1273 57579.2345 DMX_0070 
57594.1599 -6.6960942e-04 2.857e-05 57594.1063 57594.2136 DMX_0071 
57622.0709 -7.5902874e-04 2.815e-05 57622.0173 57622.1245 DMX_0072 
57640.0112 -8.6636085e-04 2.939e-05 57639.9576 57640.0647 DMX_0073 
57666.9383 -1.1278311e-03 2.756e-05 57666.8848 57666.9919 DMX_0074 
57686.8848 -1.0588639e-03 3.087e-05 57686.8312 57686.9384 DMX_0075 
57710.8174 -1.1290009e-03 2.764e-05 57710.7638 57710.8710 DMX_0076 
57733.7545 -1.3084270e-03 3.054e-05 57733.7009 57733.8081 DMX_0077 
57752.7054 -1.2869878e-03 2.998e-05 57752.6519 57752.7590 DMX_0078 
57775.6397 -1.4434907e-03 2.762e-05 57775.5861 57775.6933 DMX_0079 
57789.6014 -1.5046265e-03 3.117e-05 57789.5478 57789.6550 DMX_0080 
57804.5630 -1.6009963e-03 2.956e-05 57804.5094 57804.6166 DMX_0081 
57823.5115 -1.8800378e-03 2.724e-05 57823.4580 57823.5651 DMX_0082 
57844.4585 -1.9728618e-03 2.798e-05 57844.4011 57844.5160 DMX_0083 
