# Mean DMX value = +2.629131e-05 
# Uncertainty in average DM = 2.51978e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53271.2232 +2.4316049e-03 1.895e-05 53267.0360 53275.4105 DMX_0001 
53292.6039 +2.5153503e-03 2.031e-05 53291.9474 53293.2605 DMX_0002 
53349.8921 +2.6463901e-03 2.309e-05 53343.7877 53355.9964 DMX_0003 
53447.5803 +2.9492953e-03 2.814e-05 53446.3555 53448.8051 DMX_0004 
53768.9994 +2.4695866e-03 2.385e-05 53766.4276 53771.5712 DMX_0005 
53799.4058 +2.5799919e-03 1.876e-05 53798.2558 53800.5559 DMX_0006 
53838.7985 +2.6033561e-03 1.823e-05 53838.1527 53839.4443 DMX_0007 
53858.7442 +2.4717454e-03 1.788e-05 53858.0935 53859.3950 DMX_0008 
53889.6540 +2.5936245e-03 2.129e-05 53889.0059 53890.3020 DMX_0009 
53918.5757 +2.5703636e-03 2.303e-05 53917.9259 53919.2255 DMX_0010 
53980.9039 +2.5273408e-03 2.255e-05 53979.7570 53982.0508 DMX_0011 
54011.8197 +2.3258526e-03 2.174e-05 54009.6763 54013.9631 DMX_0012 
54036.2372 +2.0509805e-03 2.166e-05 54035.6044 54036.8700 DMX_0013 
54068.6628 +1.7782436e-03 2.314e-05 54064.5241 54072.8015 DMX_0014 
54101.0740 +1.9157980e-03 2.920e-05 54100.4271 54101.7208 DMX_0015 
54374.3297 +1.6575282e-03 3.024e-05 54373.6817 54374.9777 DMX_0016 
54429.1840 +1.3770044e-03 1.896e-05 54428.5325 54429.8355 DMX_0017 
54464.0910 +1.4429656e-03 2.244e-05 54462.4518 54465.7301 DMX_0018 
54527.9131 +1.3998263e-03 2.470e-05 54526.2677 54529.5586 DMX_0019 
54552.8462 +1.2357465e-03 2.571e-05 54552.1965 54553.4959 DMX_0020 
54642.6031 +7.7033781e-04 1.899e-05 54640.9547 54644.2515 DMX_0021 
54673.5138 +9.4032083e-04 2.187e-05 54672.8675 54674.1600 DMX_0022 
54709.0114 +1.2129051e-03 1.682e-05 54706.8686 54711.1543 DMX_0023 
54758.3412 +1.4555181e-03 1.835e-05 54751.7648 54764.9176 DMX_0024 
