# Mean DMX value = -3.045131e-05 
# Uncertainty in average DM = 3.81147e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57755.0624 -1.1498659e-03 2.034e-04 57755.0035 57755.1214 DMX_0001 
57774.0252 -7.8424313e-04 2.084e-04 57773.9662 57774.0841 DMX_0002 
57797.0012 -7.1682205e-04 2.624e-04 57796.9512 57797.0512 DMX_0003 
57816.9169 +3.7704552e-05 3.448e-04 57816.8587 57816.9752 DMX_0004 
57837.8361 -6.6648093e-04 2.004e-04 57837.7775 57837.8948 DMX_0005 
57886.6879 -2.0467435e-04 3.014e-04 57886.6292 57886.7466 DMX_0006 
57901.6701 -2.6636872e-04 2.702e-04 57901.6114 57901.7288 DMX_0007 
57921.6169 -2.1473386e-04 2.215e-04 57921.5583 57921.6755 DMX_0008 
57937.5634 -5.2130029e-04 3.431e-04 57937.5134 57937.6134 DMX_0009 
57957.5226 -3.0190665e-04 1.903e-04 57957.4638 57957.5813 DMX_0010 
57977.4594 -3.7523852e-04 2.014e-04 57977.4007 57977.5180 DMX_0011 
58464.1263 -1.7678694e-04 2.429e-04 58464.0676 58464.1850 DMX_0012 
58504.0244 +3.1928627e-05 1.812e-04 58503.9656 58504.0832 DMX_0013 
58524.9656 -2.1634344e-04 1.642e-04 58524.9078 58525.0234 DMX_0014 
58545.9041 -3.0952899e-04 2.265e-04 58545.8402 58545.9681 DMX_0015 
58566.8684 -2.6298201e-04 2.131e-04 58566.8098 58566.9270 DMX_0016 
58587.7976 -2.3848521e-04 1.735e-04 58587.7389 58587.8562 DMX_0017 
58607.7207 +4.1524640e-04 3.058e-04 58607.6620 58607.7795 DMX_0018 
58630.6776 -2.4402582e-05 2.255e-04 58630.6189 58630.7363 DMX_0019 
58650.6285 -1.9557043e-04 2.280e-04 58650.5697 58650.6873 DMX_0020 
58671.5780 +1.9237566e-04 2.027e-04 58671.5193 58671.6367 DMX_0021 
58690.5054 +4.8557119e-04 3.446e-04 58690.4468 58690.5640 DMX_0022 
58713.4490 +3.8657239e-04 1.809e-04 58713.3902 58713.5078 DMX_0023 
58734.3818 +4.7571518e-04 1.860e-04 58734.3231 58734.4406 DMX_0024 
58755.3370 +3.7407337e-04 1.909e-04 58755.2781 58755.3959 DMX_0025 
58778.2823 +3.2130554e-04 2.036e-04 58778.2233 58778.3412 DMX_0026 
58792.2432 +1.8786693e-04 2.074e-04 58792.1843 58792.3021 DMX_0027 
58818.1634 +1.4459956e-04 2.426e-04 58818.1045 58818.2224 DMX_0028 
58837.1066 +3.9544607e-04 2.600e-04 58837.0490 58837.1642 DMX_0029 
58883.9656 -6.9896131e-04 8.976e-04 58883.9075 58884.0237 DMX_0030 
58900.9356 +2.9114297e-04 6.933e-04 58900.8856 58900.9856 DMX_0031 
58921.8529 +2.0733926e-04 5.908e-04 58921.8029 58921.9029 DMX_0032 
58943.8041 +4.4841163e-04 2.529e-04 58943.7541 58943.8541 DMX_0033 
58964.7612 +2.1240989e-04 2.242e-04 58964.7024 58964.8200 DMX_0034 
58986.6926 +3.9053604e-04 2.041e-04 58986.6426 58986.7426 DMX_0035 
59007.6486 +3.3993754e-04 2.048e-04 59007.5901 59007.7070 DMX_0036 
59026.6068 +4.8280568e-04 2.091e-04 59026.5457 59026.6679 DMX_0037 
59041.5533 +7.8292294e-04 2.922e-04 59041.4945 59041.6120 DMX_0038 
59056.5060 +7.2078395e-04 2.345e-04 59056.4472 59056.5647 DMX_0039 
