# Mean DMX value = +2.817031e-06 
# Uncertainty in average DM = 2.55148e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53449.4728 +7.9107540e-04 6.925e-05 53448.6657 53450.2800 DMX_0001 
53653.1283 +8.8849130e-04 5.975e-05 53651.4820 53654.7746 DMX_0002 
53688.0406 +8.6060619e-04 1.093e-04 53681.3952 53694.6860 DMX_0003 
53737.3918 +8.6118573e-04 5.749e-05 53736.2380 53738.5455 DMX_0004 
53768.8570 +7.2217749e-04 4.425e-05 53766.2621 53771.4519 DMX_0005 
53799.2405 +6.7637533e-04 5.592e-05 53798.0906 53800.3904 DMX_0006 
53838.6165 +6.8209656e-04 3.939e-05 53837.9690 53839.2639 DMX_0007 
53858.5689 +7.8532669e-04 4.285e-05 53857.9227 53859.2152 DMX_0008 
53889.4841 +8.1789959e-04 4.899e-05 53888.8356 53890.1325 DMX_0009 
53918.4024 +9.8581567e-04 5.071e-05 53917.7555 53919.0494 DMX_0010 
53980.7282 +1.1661325e-03 5.384e-05 53979.5819 53981.8745 DMX_0011 
54011.6432 +1.0684026e-03 6.069e-05 54009.4968 54013.7895 DMX_0012 
54036.0568 +1.0650373e-03 5.225e-05 54035.4274 54036.6861 DMX_0013 
54068.4873 +8.8148554e-04 5.029e-05 54064.3475 54072.6271 DMX_0014 
54100.9017 +8.7905517e-04 5.310e-05 54100.2511 54101.5522 DMX_0015 
54156.7493 +7.3025585e-04 5.592e-05 54156.1041 54157.3945 DMX_0016 
54184.6669 +8.3853641e-04 5.777e-05 54184.0152 54185.3186 DMX_0017 
54219.0762 +9.4035593e-04 6.218e-05 54217.9279 54220.2245 DMX_0018 
54374.1531 +1.2095411e-03 6.141e-05 54373.5053 54374.8008 DMX_0019 
54401.0778 +1.1017676e-03 5.973e-05 54400.4322 54401.7235 DMX_0020 
54463.9079 +9.9394603e-04 5.201e-05 54462.2611 54465.5546 DMX_0021 
54494.8080 +9.5104772e-04 6.329e-05 54494.1456 54495.4704 DMX_0022 
54552.6713 +9.3407154e-04 5.320e-05 54552.0218 54553.3207 DMX_0023 
54578.5942 +9.8868180e-04 5.152e-05 54575.9457 54581.2428 DMX_0024 
54641.4195 +1.1511258e-03 5.500e-05 54640.7728 54642.0661 DMX_0025 
54673.3285 +1.1183837e-03 6.297e-05 54672.6786 54673.9784 DMX_0026 
54709.2342 +1.1755214e-03 7.837e-05 54707.5920 54710.8763 DMX_0027 
54767.0765 +1.1234496e-03 5.540e-05 54765.4284 54768.7246 DMX_0028 
54789.5174 +1.0954555e-03 5.838e-05 54784.3817 54794.6531 DMX_0029 
54823.9181 +9.6491710e-04 6.043e-05 54820.2789 54827.5573 DMX_0030 
54852.8382 +8.4193032e-04 6.523e-05 54850.1950 54855.4815 DMX_0031 
54883.7555 +7.2435696e-04 6.357e-05 54882.1072 54885.4038 DMX_0032 
54945.0883 +9.0165813e-04 6.563e-05 54941.9429 54948.2337 DMX_0033 
54975.5053 +8.4947557e-04 6.508e-05 54972.8640 54978.1466 DMX_0034 
55004.4223 +9.2367875e-04 5.567e-05 55003.7738 55005.0709 DMX_0035 
55069.2461 +8.7472998e-04 5.346e-05 55065.6068 55072.8854 DMX_0036 
55097.6230 +8.8231838e-04 5.752e-05 55094.4825 55100.7636 DMX_0037 
55120.5620 +8.2263461e-04 5.487e-05 55118.4175 55122.7065 DMX_0038 
55155.9965 +7.8411766e-04 9.536e-05 55154.3299 55157.6630 DMX_0039 
55244.2221 +7.7886305e-04 6.273e-05 55243.0759 55245.3683 DMX_0040 
55276.6327 +7.0715169e-04 3.907e-05 55275.0864 55278.1790 DMX_0041 
55305.0543 +8.2637746e-04 1.472e-04 55305.0043 55305.1043 DMX_0042 
