# Mean DMX value = -5.509586e-06 
# Uncertainty in average DM = 1.28103e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53218.0274 -1.0721675e-03 4.502e-04 53216.8589 53219.1959 DMX_0001 
53448.2646 -1.2588800e-03 3.515e-04 53446.1379 53450.3913 DMX_0002 
53653.1949 -2.0623161e-03 5.959e-04 53651.5487 53654.8412 DMX_0003 
53694.5434 -8.5428654e-04 2.195e-04 53693.4232 53695.6637 DMX_0004 
53738.4547 -1.0681075e-03 7.380e-04 53738.3994 53738.5099 DMX_0005 
53768.4220 -4.5132240e-04 4.158e-04 53766.3268 53770.5173 DMX_0006 
53799.2961 -8.7424875e-04 2.809e-04 53798.1463 53800.4459 DMX_0007 
53889.5506 -1.4750578e-03 4.647e-04 53888.9054 53890.1957 DMX_0008 
53980.7952 -1.3960130e-03 4.273e-04 53979.6483 53981.9420 DMX_0009 
54011.7105 -8.1874709e-04 2.346e-04 54009.5651 54013.8559 DMX_0010 
54036.1550 -1.0615913e-03 2.932e-04 54035.4940 54036.8160 DMX_0011 
54219.1702 -1.6442972e-03 5.485e-04 54218.0528 54220.2876 DMX_0012 
54374.2226 -1.0791019e-03 4.716e-04 54373.5678 54374.8775 DMX_0013 
54401.1380 -3.2560221e-04 4.090e-04 54400.4901 54401.7859 DMX_0014 
54429.0721 -1.1603328e-03 2.221e-04 54428.4172 54429.7270 DMX_0015 
54463.9689 +1.0909630e-06 2.522e-04 54462.3241 54465.6137 DMX_0016 
54552.1778 +3.1674048e-04 7.663e-04 54551.0793 54553.2763 DMX_0017 
54578.6521 -7.7208140e-04 3.087e-04 54576.0048 54581.2994 DMX_0018 
54641.4766 -6.3936563e-04 2.699e-04 54640.8279 54642.1253 DMX_0019 
54709.2939 -5.7401735e-04 3.588e-04 54707.6476 54710.9402 DMX_0020 
54883.8173 -4.2218385e-04 1.080e-03 54882.1718 54885.4629 DMX_0021 
54914.7344 -6.6240105e-04 2.809e-04 54913.0867 54916.3822 DMX_0022 
54943.1553 +5.2491367e-06 4.112e-04 54942.0061 54944.3045 DMX_0023 
55004.4858 -7.4161435e-05 3.846e-04 55003.8371 55005.1344 DMX_0024 
55069.3076 +5.4664517e-04 5.056e-04 55065.6666 55072.9486 DMX_0025 
55120.6637 -6.0348826e-04 2.847e-04 55118.5193 55122.8082 DMX_0026 
55244.3257 -3.3432228e-04 2.536e-04 55243.1793 55245.4721 DMX_0027 
55278.2317 -5.0024744e-04 1.777e-04 55278.1817 55278.2817 DMX_0028 
55307.1530 -3.3564938e-04 2.123e-04 55307.1030 55307.2030 DMX_0029 
55340.0635 -6.0928008e-04 3.463e-04 55340.0135 55340.1135 DMX_0030 
55361.0032 -4.0338994e-04 2.336e-04 55360.9478 55361.0587 DMX_0031 
55395.9549 -2.9240064e-04 2.336e-04 55395.9049 55396.0049 DMX_0032 
55430.3604 +5.5261437e-04 3.647e-04 55429.8117 55430.9092 DMX_0033 
55462.7700 -4.1592515e-04 1.382e-04 55461.7206 55463.8193 DMX_0034 
55493.1444 -5.0916307e-04 1.542e-04 55492.5963 55493.6924 DMX_0035 
55521.0677 -2.2958344e-04 5.712e-04 55520.5196 55521.6159 DMX_0036 
55543.0522 -2.3222481e-04 1.524e-04 55542.5032 55543.6013 DMX_0037 
55578.9542 -2.5571222e-04 1.610e-04 55578.4054 55579.5029 DMX_0038 
55616.8054 +2.4615010e-05 3.581e-04 55616.2572 55617.3535 DMX_0039 
55640.2864 -2.6088255e-04 1.608e-04 55639.2393 55641.3334 DMX_0040 
55672.1983 -4.0524582e-04 3.134e-04 55670.1536 55674.2429 DMX_0041 
55700.1222 +5.6819524e-05 5.414e-04 55700.0722 55700.1722 DMX_0042 
55731.5357 -4.0028923e-04 1.552e-04 55730.9872 55732.0842 DMX_0043 
55765.8966 -6.3195911e-04 1.701e-04 55765.8466 55765.9466 DMX_0044 
55773.8753 -1.5311992e-04 5.848e-04 55773.8253 55773.9253 DMX_0045 
55800.3028 -4.2688357e-04 2.477e-04 55799.7544 55800.8512 DMX_0046 
55827.7346 -3.0623410e-04 1.386e-04 55826.6878 55828.7814 DMX_0047 
55864.1339 +4.1902595e-04 6.290e-04 55863.5847 55864.6831 DMX_0048 
55893.0558 -4.0527093e-04 1.929e-04 55892.5074 55893.6041 DMX_0049 
55918.9846 -2.9387503e-04 1.831e-04 55918.4361 55919.5330 DMX_0050 
55948.9029 -3.2461433e-04 2.211e-04 55948.3543 55949.4516 DMX_0051 
55976.4439 -4.5345621e-05 2.312e-04 55976.3939 55976.4939 DMX_0052 
56002.8852 -1.8988166e-04 1.551e-04 56002.3581 56003.4124 DMX_0053 
56034.7708 -5.2648270e-04 3.040e-04 56034.2146 56035.3270 DMX_0054 
56067.2023 -3.7766928e-04 2.553e-04 56066.1340 56068.2706 DMX_0055 
56094.6194 -1.5356964e-04 1.508e-04 56094.0667 56095.1721 DMX_0056 
56151.4213 -3.5564671e-04 1.843e-04 56150.8705 56151.9720 DMX_0057 
56173.8710 -3.0492962e-04 4.375e-04 56172.8176 56174.9245 DMX_0058 
56194.8205 -4.3174728e-04 4.186e-04 56194.7705 56194.8705 DMX_0059 
56214.2618 +8.0536465e-05 3.580e-04 56213.7068 56214.8168 DMX_0060 
56235.2611 +4.7121451e-04 4.033e-04 56234.7801 56235.7422 DMX_0061 
56250.1756 -2.2433320e-04 1.576e-04 56249.6309 56250.7203 DMX_0062 
56270.0802 -4.7645449e-04 2.457e-04 56269.4932 56270.6671 DMX_0063 
56289.4991 +1.3576776e-04 1.933e-04 56288.4734 56290.5248 DMX_0064 
56310.9668 +1.2279546e-04 1.549e-04 56310.3868 56311.5468 DMX_0065 
56332.9917 -3.8359217e-04 1.942e-04 56332.3901 56333.5934 DMX_0066 
56351.3907 -1.5589994e-04 1.759e-04 56348.3742 56354.4072 DMX_0067 
