# Mean DMX value = +9.399350e-06 
# Uncertainty in average DM = 3.80623e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53218.0810 +7.3291864e-03 3.042e-04 53216.9491 53219.2129 DMX_0001 
53292.4455 +7.8429940e-03 2.167e-04 53291.7884 53293.1026 DMX_0002 
53448.2991 +9.0365162e-03 1.924e-04 53446.1741 53450.4241 DMX_0003 
53535.5512 +8.7810897e-03 2.487e-04 53534.8949 53536.2075 DMX_0004 
53737.4732 +7.6207658e-03 1.862e-04 53736.3171 53738.6294 DMX_0005 
53770.3455 +7.6004799e-03 2.135e-04 53769.2497 53771.4413 DMX_0006 
53799.3222 +7.2664748e-03 1.835e-04 53798.1722 53800.4722 DMX_0007 
53838.7146 +7.5329069e-03 1.789e-04 53838.0679 53839.3612 DMX_0008 
53858.6611 +7.0232288e-03 1.798e-04 53858.0164 53859.3057 DMX_0009 
53889.5754 +7.2687034e-03 1.763e-04 53888.9296 53890.2211 DMX_0010 
53918.4953 +6.8491563e-03 1.950e-04 53917.8460 53919.1446 DMX_0011 
53980.8246 +6.3301432e-03 2.126e-04 53979.6770 53981.9721 DMX_0012 
54011.7399 +5.8893718e-03 2.198e-04 54009.5949 54013.8849 DMX_0013 
54036.1550 +6.0173605e-03 2.168e-04 54035.5241 54036.7859 DMX_0014 
54100.9951 +5.4921353e-03 2.331e-04 54100.3464 54101.6438 DMX_0015 
54374.2498 +6.1935891e-03 2.894e-04 54373.5994 54374.9002 DMX_0016 
54401.1772 +5.4540703e-03 2.681e-04 54400.5294 54401.8251 DMX_0017 
54463.9946 +5.3988199e-03 2.322e-04 54462.3488 54465.6403 DMX_0018 
54527.8146 +4.3177624e-03 1.998e-04 54526.1673 54529.4619 DMX_0019 
54551.7452 +3.8133574e-03 2.656e-04 54551.0954 54552.3950 DMX_0020 
54578.6751 +3.8095313e-03 2.355e-04 54576.0257 54581.3246 DMX_0021 
54641.5074 +4.5970614e-03 4.065e-04 54640.8638 54642.1509 DMX_0022 
54673.4150 +4.6318501e-03 2.740e-04 54672.7663 54674.0636 DMX_0023 
54709.3167 +5.0533038e-03 2.793e-04 54707.6708 54710.9626 DMX_0024 
54767.1583 +5.0335149e-03 2.949e-04 54765.5123 54768.8042 DMX_0025 
54852.9238 +4.4553475e-03 3.128e-04 54850.2807 54855.5669 DMX_0026 
54883.8396 +4.5244911e-03 2.667e-04 54882.1937 54885.4855 DMX_0027 
54914.7544 +3.7168669e-03 2.674e-04 54913.1086 54916.4002 DMX_0028 
