# Mean DMX value = -8.660224e-06 
# Uncertainty in average DM = 7.70156e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53420.5058 +3.5507781e-04 8.235e-05 53420.4373 53420.5744 DMX_0001 
53448.4219 +2.2582051e-04 6.214e-05 53448.3522 53448.4917 DMX_0002 
53477.3477 +3.4404257e-04 6.578e-05 53477.2770 53477.4185 DMX_0003 
53505.2925 +2.7689246e-04 7.419e-05 53505.2340 53505.3509 DMX_0004 
53569.0711 +3.7718398e-04 6.175e-05 53568.9974 53569.1448 DMX_0005 
53628.9239 +3.4299197e-04 6.020e-05 53628.8539 53628.9939 DMX_0006 
53686.7576 +3.7403578e-04 5.288e-05 53686.6879 53686.8272 DMX_0007 
53715.6922 +1.8295949e-05 1.408e-04 53715.6214 53715.7629 DMX_0008 
53750.5895 +3.6367137e-04 5.487e-05 53750.5204 53750.6586 DMX_0009 
53798.4559 +2.2328975e-04 6.287e-05 53798.3823 53798.5295 DMX_0010 
53891.2083 +3.4854943e-04 6.041e-05 53891.1367 53891.2799 DMX_0011 
54008.9117 +4.1240994e-04 7.992e-05 54008.8530 54008.9704 DMX_0012 
54043.7905 +3.3740095e-04 5.291e-05 54043.7222 54043.8589 DMX_0013 
54135.5413 +1.9841868e-04 5.769e-05 54135.4724 54135.6103 DMX_0014 
54519.4888 +1.6126795e-04 7.270e-05 54519.4218 54519.5557 DMX_0015 
54678.0557 +1.9094620e-04 6.444e-05 54677.9867 54678.1247 DMX_0016 
54819.6691 -8.8754438e-05 7.503e-05 54819.6026 54819.7356 DMX_0017 
54862.5451 -1.2908080e-04 5.541e-05 54862.4752 54862.6150 DMX_0018 
54999.1444 +1.0000897e-04 7.226e-05 54999.0875 54999.2013 DMX_0019 
55041.0407 +1.9851958e-04 8.426e-05 55040.9813 55041.1000 DMX_0020 
55170.6724 +2.3252082e-04 7.335e-05 55170.6127 55170.7321 DMX_0021 
55205.5788 +2.5758644e-04 6.802e-05 55205.5198 55205.6377 DMX_0022 
55298.3467 +2.6249255e-04 7.023e-05 55298.2893 55298.4040 DMX_0023 
55330.2599 +1.8036520e-04 6.900e-05 55330.2025 55330.3173 DMX_0024 
55424.0033 +2.4831987e-04 7.573e-05 55423.9431 55424.0635 DMX_0025 
55500.7765 +2.8006090e-04 7.166e-05 55500.7182 55500.8347 DMX_0026 
55609.4936 +3.6479558e-04 5.703e-05 55609.4048 55609.5825 DMX_0027 
55638.3907 +2.4908021e-04 6.134e-05 55638.3326 55638.4488 DMX_0028 
55677.2868 +4.1149297e-04 1.065e-04 55677.2207 55677.3528 DMX_0029 
55701.2207 +2.5134296e-04 7.077e-05 55701.1591 55701.2822 DMX_0030 
55702.2502 +5.2592109e-04 3.147e-04 55702.1961 55702.3044 DMX_0031 
55731.1454 +2.6109392e-04 6.048e-05 55731.0851 55731.2056 DMX_0032 
55758.0715 +1.0529373e-04 9.813e-05 55758.0080 55758.1349 DMX_0033 
55788.9875 +2.7691771e-04 6.833e-05 55788.9273 55789.0478 DMX_0034 
55817.9108 +1.3566720e-04 6.072e-05 55817.8502 55817.9714 DMX_0035 
55843.8543 +1.4319303e-04 6.350e-05 55843.7959 55843.9126 DMX_0036 
55954.5355 +2.8677155e-04 9.305e-05 55954.4687 55954.6022 DMX_0037 
55989.4522 +1.0932328e-04 2.047e-05 55989.3911 55989.5132 DMX_0038 
56023.3575 +1.7748990e-04 2.240e-05 56023.2962 56023.4187 DMX_0039 
56038.3405 +2.3727584e-04 2.369e-05 56038.2800 56038.4010 DMX_0040 
56044.3166 +1.1119109e-04 1.783e-05 56044.2512 56044.3821 DMX_0041 
56057.2714 +2.2916121e-04 3.010e-05 56057.2118 56057.3309 DMX_0042 
56106.1397 +2.3703538e-04 5.721e-05 56106.0774 56106.2020 DMX_0043 
