# Mean DMX value = -8.749235e-05 
# Uncertainty in average DM = 4.29430e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53799.3496 +1.8908549e-04 4.774e-05 53798.1992 53800.5000 DMX_0001 
53838.7417 +2.7520426e-04 3.306e-05 53838.0941 53839.3893 DMX_0002 
53858.6893 +2.6314178e-04 3.926e-05 53858.0446 53859.3339 DMX_0003 
53889.6011 +3.5596411e-04 3.656e-05 53888.9528 53890.2494 DMX_0004 
53918.5240 +2.9133328e-04 2.867e-05 53917.8737 53919.1742 DMX_0005 
53980.8513 +3.8543479e-04 2.158e-05 53979.7037 53981.9990 DMX_0006 
54011.7667 +2.6661638e-04 2.870e-05 54009.6219 54013.9114 DMX_0007 
54036.1553 +2.4133481e-04 3.044e-05 54035.5525 54036.7581 DMX_0008 
54068.6101 +1.8955267e-04 6.541e-05 54064.4708 54072.7494 DMX_0009 
54101.0222 +2.6306866e-04 3.662e-05 54100.3742 54101.6701 DMX_0010 
54133.9503 +1.3663931e-04 4.223e-05 54133.3160 54134.5847 DMX_0011 
54219.2193 +1.0797694e-04 2.905e-05 54218.0936 54220.3449 DMX_0012 
54374.2757 +1.0114513e-04 4.932e-05 54373.6258 54374.9255 DMX_0013 
54401.2014 +1.1011288e-04 3.092e-05 54400.5527 54401.8501 DMX_0014 
54429.1267 +1.7127662e-04 3.820e-05 54428.4846 54429.7689 DMX_0015 
54464.0401 +1.5163235e-04 7.488e-05 54462.3954 54465.6849 DMX_0016 
54527.8603 -1.4328187e-06 2.295e-05 54526.2132 54529.5074 DMX_0017 
54551.7971 +1.7893959e-04 2.941e-05 54551.1499 54552.4444 DMX_0018 
54579.7296 +1.0299694e-04 2.801e-05 54578.0800 54581.3791 DMX_0019 
54642.5553 +5.1743920e-05 4.380e-05 54640.9055 54644.2051 DMX_0020 
54673.4609 +9.2040078e-05 2.088e-05 54672.8124 54674.1095 DMX_0021 
54709.3621 +1.7808793e-05 4.791e-05 54707.7163 54711.0079 DMX_0022 
54758.7902 -5.4016639e-04 2.309e-05 54751.7224 54765.8580 DMX_0023 
54824.0491 -1.7386425e-04 3.523e-05 54820.4093 54827.6890 DMX_0024 
54852.9679 -2.5603544e-04 7.718e-05 54850.3265 54855.6094 DMX_0025 
54883.8850 -3.5059204e-04 2.953e-05 54882.2393 54885.5307 DMX_0026 
54914.8002 -2.9252589e-04 4.030e-05 54913.1541 54916.4463 DMX_0027 
54945.1698 -2.3618345e-04 4.171e-05 54942.0746 54948.2649 DMX_0028 
54975.6332 -1.8444042e-04 3.968e-05 54972.9900 54978.2764 DMX_0029 
55004.5542 -1.9026870e-04 2.533e-05 55003.9057 55005.2027 DMX_0030 
55030.4828 -1.4116132e-04 5.430e-05 55029.8340 55031.1317 DMX_0031 
55069.3766 -2.1946439e-04 2.289e-05 55065.7363 55073.0169 DMX_0032 
55097.7010 -5.2972085e-05 5.150e-05 55094.5588 55100.8433 DMX_0033 
55120.6382 -2.5583991e-05 3.121e-05 55118.4936 55122.7827 DMX_0034 
55156.0665 +3.0468571e-05 3.159e-05 55154.3947 55157.7383 DMX_0035 
55215.3796 +1.7116360e-06 1.902e-05 55214.2331 55216.5261 DMX_0036 
55244.3005 +1.2452284e-05 3.056e-05 55243.1534 55245.4476 DMX_0037 
55276.7114 +9.7146122e-05 2.533e-05 55275.1592 55278.2636 DMX_0038 
55306.1303 +2.0428289e-04 3.072e-05 55305.0764 55307.1841 DMX_0039 
55340.0381 +1.2797961e-04 2.146e-05 55339.9815 55340.0947 DMX_0040 
55362.9958 +9.4904212e-05 2.383e-05 55360.9238 55365.0678 DMX_0041 
55392.9433 +1.5906977e-04 2.342e-05 55389.8999 55395.9867 DMX_0042 
55430.3355 +2.2091004e-04 2.693e-05 55429.7799 55430.8911 DMX_0043 
55462.7413 +1.5742946e-04 3.255e-05 55461.6931 55463.7894 DMX_0044 
55493.1188 +2.1018608e-04 3.515e-05 55492.5636 55493.6739 DMX_0045 
55521.0429 +2.3892625e-04 2.683e-05 55520.4888 55521.5971 DMX_0046 
55543.0276 +2.3923594e-04 3.168e-05 55542.4718 55543.5834 DMX_0047 
55578.9291 +2.0921761e-04 3.102e-05 55578.3734 55579.4847 DMX_0048 
55616.7803 +1.3492989e-04 2.193e-05 55616.2256 55617.3350 DMX_0049 
55640.2609 +1.5923649e-04 2.424e-05 55639.2074 55641.3143 DMX_0050 
