# Mean DMX value = +7.611982e-06 
# Uncertainty in average DM = 2.71500e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55135.8875 +2.0701105e-02 1.233e-03 55135.8278 55135.9471 DMX_0001 
55170.7881 +2.0323723e-02 1.230e-03 55170.7321 55170.8441 DMX_0002 
55205.6925 +2.0450924e-02 1.032e-03 55205.6307 55205.7544 DMX_0003 
55500.8704 +2.2720580e-02 1.839e-03 55500.8117 55500.9291 DMX_0004 
55638.4999 +2.4796369e-02 1.351e-03 55638.4417 55638.5582 DMX_0005 
55677.4051 +2.5204134e-02 1.272e-03 55677.3466 55677.4637 DMX_0006 
55701.3303 +2.3619959e-02 1.145e-03 55701.2714 55701.3891 DMX_0007 
55732.2162 +2.5126131e-02 1.085e-03 55732.1562 55732.2761 DMX_0008 
55760.1474 +2.3299438e-02 1.107e-03 55760.0877 55760.2072 DMX_0009 
55790.0617 +2.3143436e-02 1.086e-03 55790.0024 55790.1209 DMX_0010 
55818.9790 +2.1306397e-02 1.101e-03 55818.9181 55819.0399 DMX_0011 
55849.8946 +1.8146885e-02 1.083e-03 55849.8361 55849.9531 DMX_0012 
55876.8292 +1.6108863e-02 1.126e-03 55876.7697 55876.8886 DMX_0013 
55911.7270 +1.4829074e-02 1.139e-03 55911.6671 55911.7869 DMX_0014 
55935.6622 +1.3991289e-02 1.159e-03 55935.6017 55935.7226 DMX_0015 
55969.5717 +1.3553823e-02 1.123e-03 55969.5116 55969.6317 DMX_0016 
55997.5298 +1.5439732e-02 6.039e-04 55997.4702 55997.5894 DMX_0017 
56018.4515 +1.6691898e-02 5.207e-04 56018.3863 56018.5166 DMX_0018 
56058.3291 +2.0305980e-02 5.654e-04 56058.2682 56058.3900 DMX_0019 
56107.1925 +2.3992491e-02 8.519e-04 56107.1323 56107.2528 DMX_0020 
56137.1107 +2.2697006e-02 6.081e-04 56137.0499 56137.1715 DMX_0021 
56168.0311 +2.1634301e-02 5.926e-04 56167.9711 56168.0911 DMX_0022 
56249.7907 +1.8498544e-02 1.234e-03 56249.7407 56249.8407 DMX_0023 
56255.7793 +1.7151729e-02 1.244e-03 56255.7293 56255.8293 DMX_0024 
56290.6870 +1.6937536e-02 5.907e-04 56290.6282 56290.7458 DMX_0025 
56304.6476 +1.8518350e-02 5.527e-04 56304.5884 56304.7068 DMX_0026 
56326.5907 +1.7225497e-02 6.194e-04 56326.5306 56326.6508 DMX_0027 
56346.5275 +1.8275781e-02 1.022e-03 56346.4775 56346.5775 DMX_0028 
56367.4801 +1.7386716e-02 8.094e-04 56367.4214 56367.5388 DMX_0029 
56384.4352 +1.7431090e-02 6.734e-04 56384.3772 56384.4933 DMX_0030 
