# Mean DMX value = -9.258444e-05 
# Uncertainty in average DM = 6.20046e-06 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53292.5288 +2.7046303e-03 6.096e-05 53291.8811 53293.1765 DMX_0001 
53799.4829 +2.1415010e-03 1.931e-05 53798.3316 53800.6343 DMX_0002 
53838.8715 +2.0430203e-03 2.132e-05 53838.2257 53839.5174 DMX_0003 
53858.8220 +2.0068321e-03 1.710e-05 53858.1698 53859.4743 DMX_0004 
53889.7378 +1.9356766e-03 1.500e-05 53889.0900 53890.3857 DMX_0005 
53980.9835 +1.8118673e-03 2.220e-05 53979.8399 53982.1271 DMX_0006 
54011.9019 +1.8218259e-03 1.597e-05 54009.7552 54014.0485 DMX_0007 
54036.3284 +1.8340357e-03 1.947e-05 54035.6868 54036.9700 DMX_0008 
54101.1561 +1.9052669e-03 1.994e-05 54100.5105 54101.8017 DMX_0009 
54134.0661 +1.6666866e-03 2.468e-05 54133.4180 54134.7143 DMX_0010 
54219.3345 +1.5447339e-03 2.233e-05 54218.1883 54220.4807 DMX_0011 
54374.4076 +1.5331930e-03 1.768e-05 54373.7559 54375.0593 DMX_0012 
54429.2558 +1.5860195e-03 1.815e-05 54428.6020 54429.9095 DMX_0013 
54527.9757 +1.5088267e-03 1.397e-05 54526.3339 54529.6174 DMX_0014 
54552.9189 +1.4257655e-03 1.830e-05 54552.2710 54553.5668 DMX_0015 
54579.8420 +1.4382405e-03 1.727e-05 54578.1963 54581.4877 DMX_0016 
54641.6764 +1.3904642e-03 1.733e-05 54641.0239 54642.3289 DMX_0017 
54708.9863 +1.3759906e-03 2.023e-05 54706.8437 54711.1289 DMX_0018 
54766.8324 +1.3411174e-03 1.620e-05 54764.6852 54768.9797 DMX_0019 
54795.7442 +1.3472803e-03 2.071e-05 54794.5884 54796.9001 DMX_0020 
54883.0143 +1.2758112e-03 1.509e-05 54880.3749 54885.6538 DMX_0021 
54914.9255 +1.1331430e-03 2.512e-05 54913.2802 54916.5708 DMX_0022 
54945.2890 +1.1368754e-03 2.029e-05 54942.1990 54948.3790 DMX_0023 
54977.3461 +9.8709421e-04 2.125e-05 54976.2904 54978.4017 DMX_0024 
55004.6770 +1.0826959e-03 2.676e-05 55004.0296 55005.3244 DMX_0025 
