# Mean DMX value = +2.299943e-04 
# Uncertainty in average DM = 1.02823e-02 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55972.0618 +5.2135876e-03 5.682e-04 55972.0118 55972.1118 DMX_0001 
56003.9233 +2.0317044e-03 1.987e-04 56003.8733 56003.9733 DMX_0002 
56034.4460 +2.4245911e-03 2.667e-04 56033.8934 56034.9986 DMX_0003 
56065.2843 +2.2384093e-03 1.929e-04 56064.7544 56065.8142 DMX_0004 
56101.6799 +2.2574850e-03 1.757e-04 56100.6372 56102.7226 DMX_0005 
56130.6103 +2.9360120e-03 6.209e-04 56130.5603 56130.6603 DMX_0006 
56150.5188 +2.1735517e-03 1.871e-04 56149.4708 56151.5667 DMX_0007 
56171.4652 +2.3403014e-03 2.088e-04 56170.3815 56172.5488 DMX_0008 
56192.4175 +2.1147814e-03 1.898e-04 56192.2910 56192.5440 DMX_0009 
56208.9006 +2.4080800e-03 3.256e-04 56208.3774 56209.4238 DMX_0010 
56229.3266 +2.0510842e-03 1.993e-04 56229.1992 56229.4540 DMX_0011 
56251.2216 +1.9976878e-03 2.081e-04 56250.1547 56252.2886 DMX_0012 
56267.1685 +2.0682867e-03 1.551e-04 56266.1217 56268.2152 DMX_0013 
56288.1778 +2.3098737e-03 2.041e-04 56288.0492 56288.3063 DMX_0014 
56312.0924 +2.0501598e-03 2.279e-04 56311.9684 56312.2163 DMX_0015 
56331.5619 +2.1824696e-03 1.911e-04 56331.0476 56332.0763 DMX_0016 
56346.9276 +2.2310650e-03 1.783e-04 56346.8776 56346.9776 DMX_0017 
56368.3852 +1.7978900e-03 2.142e-04 56367.7962 56368.9741 DMX_0018 
56374.7854 +1.9933635e-03 1.338e-04 56374.7069 56374.8639 DMX_0019 
56386.9049 +2.0164630e-03 2.462e-04 56386.7768 56387.0331 DMX_0020 
56399.9338 +1.7526639e-03 1.730e-04 56399.8557 56400.0119 DMX_0021 
56411.3396 +2.0340358e-03 1.876e-04 56410.8226 56411.8567 DMX_0022 
56432.2836 +2.1012664e-03 1.985e-04 56431.7569 56432.8103 DMX_0023 
56452.2456 +2.1576463e-03 2.116e-04 56451.6656 56452.8257 DMX_0024 
56472.6436 +2.6332727e-03 2.855e-04 56472.5936 56472.6936 DMX_0025 
56493.5379 +2.3087044e-03 1.996e-04 56492.5104 56494.5655 DMX_0026 
56513.3394 +1.9028373e-03 1.530e-04 56513.1351 56513.5437 DMX_0027 
56521.5281 +2.2639656e-03 2.266e-04 56520.4725 56522.5837 DMX_0028 
56550.9337 +2.1108930e-03 1.955e-04 56550.3718 56551.4956 DMX_0029 
56585.8154 +1.8786404e-03 1.564e-04 56585.2510 56586.3799 DMX_0030 
56613.7582 +1.7838261e-03 1.379e-04 56613.2434 56614.2729 DMX_0031 
56639.1783 +1.6582250e-03 1.643e-04 56637.1528 56641.2038 DMX_0032 
56674.0822 +1.6585244e-03 1.963e-04 56671.0861 56677.0782 DMX_0033 
56704.4591 +1.5679739e-03 1.777e-04 56702.8932 56706.0250 DMX_0034 
56727.9672 +1.6753929e-03 1.848e-04 56726.9194 56729.0150 DMX_0035 
56764.7932 +1.4333999e-03 1.872e-04 56763.7475 56765.8389 DMX_0036 
56793.2677 +1.5700303e-03 1.586e-04 56791.7336 56794.8018 DMX_0037 
56826.6446 +1.4861806e-03 1.611e-04 56823.6194 56829.6698 DMX_0038 
56850.5907 +1.5342355e-03 1.927e-04 56849.5609 56851.6205 DMX_0039 
56885.5649 +1.2302786e-03 3.725e-04 56885.5149 56885.6149 DMX_0040 
56893.4686 +1.2882383e-03 2.141e-04 56893.4186 56893.5186 DMX_0041 
56920.9561 +1.4978982e-03 1.684e-04 56920.3963 56921.5158 DMX_0042 
56943.8377 +1.8609511e-03 2.078e-04 56943.3038 56944.3716 DMX_0043 
