# Mean DMX value = +9.653042e-05 
# Uncertainty in average DM = 4.96071e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53271.2239 +2.6371734e-03 1.871e-05 53267.0360 53275.4119 DMX_0001 
53292.6039 +2.7075511e-03 1.986e-05 53291.9474 53293.2605 DMX_0002 
53349.8921 +2.8496747e-03 2.224e-05 53343.7877 53355.9964 DMX_0003 
53420.6238 +3.2004109e-03 6.978e-05 53420.5569 53420.6908 DMX_0004 
53447.5803 +3.1360555e-03 2.163e-05 53446.3555 53448.8051 DMX_0005 
53479.4478 +3.0758561e-03 2.201e-05 53477.4246 53481.4710 DMX_0006 
53629.0066 +2.3913540e-03 1.280e-04 53628.9520 53629.0612 DMX_0007 
53659.9684 +2.1884051e-03 1.231e-04 53659.9052 53660.0315 DMX_0008 
53768.9994 +2.6558592e-03 2.002e-05 53766.4276 53771.5712 DMX_0009 
53799.4058 +2.7628723e-03 1.724e-05 53798.2558 53800.5558 DMX_0010 
53838.7983 +2.7696318e-03 1.672e-05 53838.1527 53839.4439 DMX_0011 
53858.7442 +2.6503877e-03 1.704e-05 53858.0935 53859.3950 DMX_0012 
53890.1939 +2.7805668e-03 1.991e-05 53889.0059 53891.3818 DMX_0013 
53918.5757 +2.7644128e-03 2.081e-05 53917.9259 53919.2255 DMX_0014 
53926.2335 +2.7711483e-03 5.788e-05 53926.1652 53926.3017 DMX_0015 
53968.1279 +2.6061979e-03 6.830e-05 53968.0695 53968.1863 DMX_0016 
53980.9039 +2.7427335e-03 2.127e-05 53979.7570 53982.0508 DMX_0017 
54011.4624 +2.6006925e-03 3.182e-05 54008.9618 54013.9631 DMX_0018 
54036.2372 +2.3288967e-03 3.247e-05 54035.6044 54036.8700 DMX_0019 
54043.9158 +2.2580695e-03 5.948e-05 54043.8489 54043.9828 DMX_0020 
54068.6628 +2.0382146e-03 3.363e-05 54064.5241 54072.8015 DMX_0021 
54101.0740 +2.1886726e-03 3.686e-05 54100.4271 54101.7208 DMX_0022 
54135.0758 +2.1618380e-03 9.347e-05 54134.4328 54135.7187 DMX_0023 
54374.3297 +1.9407574e-03 3.849e-05 54373.6817 54374.9777 DMX_0024 
54429.1840 +1.6477934e-03 3.163e-05 54428.5325 54429.8355 DMX_0025 
54464.0910 +1.7120121e-03 3.382e-05 54462.4518 54465.7301 DMX_0026 
54527.9131 +1.6795531e-03 3.423e-05 54526.2677 54529.5586 DMX_0027 
54552.8462 +1.5279543e-03 3.486e-05 54552.1965 54553.4959 DMX_0028 
54642.6031 +1.0565264e-03 3.190e-05 54640.9547 54644.2515 DMX_0029 
54675.5389 +1.2297666e-03 3.287e-05 54672.8675 54678.2102 DMX_0030 
54709.0114 +1.4829111e-03 3.145e-05 54706.8686 54711.1543 DMX_0031 
54790.7491 +1.8046392e-03 3.229e-05 54784.6693 54796.8289 DMX_0032 
54819.7852 +1.7914146e-03 5.721e-05 54819.7138 54819.8567 DMX_0033 
54824.1040 +1.7994400e-03 3.082e-05 54820.4639 54827.7441 DMX_0034 
54853.0248 +1.6836337e-03 3.011e-05 54850.3812 54855.6683 DMX_0035 
54862.6537 +1.6670701e-03 6.722e-05 54862.5941 54862.7132 DMX_0036 
54882.9978 +1.7637273e-03 3.096e-05 54880.4093 54885.5863 DMX_0037 
54914.8555 +1.6797651e-03 3.023e-05 54913.2098 54916.5011 DMX_0038 
54925.5038 +1.6132965e-03 5.555e-05 54925.4386 54925.5690 DMX_0039 
54945.2237 +1.6623874e-03 2.935e-05 54942.1304 54948.3171 DMX_0040 
54978.8610 +1.4807793e-03 3.127e-05 54976.3198 54981.4022 DMX_0041 
55004.6096 +1.5228773e-03 3.082e-05 55003.9607 55005.2584 DMX_0042 
55030.5387 +1.5029597e-03 3.039e-05 55029.8901 55031.1874 DMX_0043 
55042.1604 +1.4599664e-03 6.693e-05 55042.1043 55042.2165 DMX_0044 
55069.4323 +1.4316430e-03 3.123e-05 55065.7918 55073.0727 DMX_0045 
55088.0257 +1.2488499e-03 6.933e-05 55087.9672 55088.0841 DMX_0046 
55097.8370 +1.2884936e-03 3.348e-05 55094.6951 55100.9789 DMX_0047 
55120.7742 +1.0180457e-03 3.408e-05 55118.6296 55122.9187 DMX_0048 
55156.1981 +7.9538084e-04 3.411e-05 55154.5314 55157.8648 DMX_0049 
55206.6991 +4.9616128e-04 7.345e-05 55206.6425 55206.7557 DMX_0050 
55215.5148 +4.7529709e-04 3.295e-05 55214.3675 55216.6621 DMX_0051 
55244.4352 +5.0082011e-04 3.117e-05 55243.2885 55245.5819 DMX_0052 
55276.8467 +3.5560795e-04 1.694e-05 55275.3006 55278.3927 DMX_0053 
55306.2659 +2.9550095e-04 2.116e-05 55305.2185 55307.3133 DMX_0054 
55338.6777 +5.1996545e-04 2.676e-05 55337.1319 55340.2235 DMX_0055 
55359.2025 +3.1513226e-04 1.612e-05 55357.2386 55361.1664 DMX_0056 
55365.1467 +4.1682857e-04 6.879e-05 55365.0967 55365.1967 DMX_0057 
55393.0831 +2.4772951e-04 1.869e-05 55390.0507 55396.1155 DMX_0058 
55430.4711 -2.0089686e-04 1.738e-05 55429.9225 55431.0197 DMX_0059 
55462.8828 -2.9358411e-04 1.866e-05 55461.8358 55463.9298 DMX_0060 
55493.2542 -2.4547291e-04 1.825e-05 55492.7053 55493.8032 DMX_0061 
55521.1782 -3.0285566e-04 1.714e-05 55520.6294 55521.7269 DMX_0062 
55527.8473 -3.8165244e-04 7.196e-05 55527.7913 55527.9032 DMX_0063 
55543.6619 -1.5625709e-04 7.580e-05 55543.6119 55543.7119 DMX_0064 
55579.0645 -4.5355105e-04 1.849e-05 55578.5161 55579.6130 DMX_0065 
55616.9161 -1.7700587e-04 1.580e-05 55616.3674 55617.4647 DMX_0066 
55640.3968 +3.2596409e-06 1.731e-05 55639.3497 55641.4438 DMX_0067 
55672.3089 +1.7327507e-04 1.463e-05 55670.2644 55674.3534 DMX_0068 
55678.3969 +3.4023175e-04 6.079e-05 55678.3395 55678.4543 DMX_0069 
55702.2269 +8.7171519e-04 1.505e-05 55700.1822 55704.2716 DMX_0070 
55732.1912 +1.1299205e-03 1.520e-05 55731.0977 55733.2847 DMX_0071 
55759.1579 +1.3092155e-03 6.299e-05 55759.0988 55759.2170 DMX_0072 
55766.0079 +1.2886749e-03 1.503e-05 55765.9579 55766.0579 DMX_0073 
55773.9854 +1.5103541e-03 6.995e-05 55773.9354 55774.0354 DMX_0074 
55791.0634 +1.2950076e-03 6.552e-05 55791.0008 55791.1261 DMX_0075 
55800.4134 +1.6837302e-03 1.556e-05 55799.8647 55800.9621 DMX_0076 
55820.0244 +1.5409569e-03 6.793e-05 55819.9646 55820.0843 DMX_0077 
55827.8378 +1.7770194e-03 1.644e-05 55826.7906 55828.8850 DMX_0078 
55850.9524 +1.3966249e-03 6.873e-05 55850.8937 55851.0111 DMX_0079 
55864.2389 +1.3453679e-03 1.689e-05 55863.6908 55864.7870 DMX_0080 
55877.8753 +1.4147097e-03 5.861e-05 55877.8152 55877.9354 DMX_0081 
55893.1596 +1.2750732e-03 1.588e-05 55892.6107 55893.7085 DMX_0082 
55910.7796 +1.3175279e-03 6.839e-05 55910.7222 55910.8371 DMX_0083 
55919.0885 +1.2808841e-03 1.695e-05 55918.5400 55919.6371 DMX_0084 
55934.7075 +1.1605078e-03 6.889e-05 55934.6475 55934.7675 DMX_0085 
55949.0070 +1.4115861e-03 1.707e-05 55948.4583 55949.5558 DMX_0086 
55971.5943 +1.3603989e-03 5.862e-05 55968.5618 55974.6267 DMX_0087 
55977.5802 +1.5704669e-04 7.110e-05 55977.5302 55977.6302 DMX_0088 
56003.0145 +1.5872517e-03 1.728e-05 56002.4892 56003.5398 DMX_0089 
56020.4763 +1.7242619e-03 7.151e-05 56020.4175 56020.5352 DMX_0090 
56034.9028 +1.8860786e-03 1.743e-05 56034.3505 56035.4551 DMX_0091 
56059.3660 +1.9176496e-03 6.960e-05 56059.3059 56059.4260 DMX_0092 
56067.3291 +1.9907501e-03 1.668e-05 56066.2622 56068.3961 DMX_0093 
56094.7491 +1.9832711e-03 1.553e-05 56094.1980 56095.3001 DMX_0094 
56108.2251 +2.0950381e-03 6.803e-05 56108.1662 56108.2840 DMX_0095 
56130.1659 +2.1775606e-03 1.613e-05 56130.1159 56130.2159 DMX_0096 
56138.6771 +2.1104369e-03 5.849e-05 56138.1037 56139.2504 DMX_0097 
56151.5509 +2.1195141e-03 1.502e-05 56151.0007 56152.1010 DMX_0098 
56173.9990 +2.1222489e-03 1.750e-05 56172.9473 56175.0506 DMX_0099 
56194.4420 +1.8916054e-03 1.334e-05 56193.8877 56194.9964 DMX_0100 
56212.4101 +1.9718071e-03 1.530e-05 56209.8808 56214.9393 DMX_0101 
56235.3663 +1.8251952e-03 1.454e-05 56234.8609 56235.8718 DMX_0102 
56250.3452 +1.7300164e-03 1.354e-05 56249.7551 56250.9354 DMX_0103 
56270.1839 +1.6015640e-03 1.339e-05 56269.6017 56270.7661 DMX_0104 
56288.6358 +1.6715623e-03 6.635e-05 56288.5858 56288.6858 DMX_0105 
56308.6671 +1.6115526e-03 1.486e-05 56305.6809 56311.6532 DMX_0106 
56325.6672 +1.6300032e-03 6.585e-05 56325.6080 56325.7264 DMX_0107 
56333.0959 +1.6362288e-03 1.344e-05 56332.4984 56333.6933 DMX_0108 
56345.6238 +1.8495716e-03 6.918e-05 56345.5662 56345.6814 DMX_0109 
56353.4618 +1.8021302e-03 1.539e-05 56352.4172 56354.5063 DMX_0110 
56367.9279 +1.7985968e-03 1.385e-05 56367.3804 56368.4755 DMX_0111 
56385.4587 +1.8555794e-03 1.466e-05 56383.4624 56387.4551 DMX_0112 
56391.3196 +1.8752208e-03 7.550e-05 56391.2696 56391.3696 DMX_0113 
56405.3539 +1.9570970e-03 1.617e-05 56403.3935 56407.3144 DMX_0114 
56410.4005 +1.9765630e-03 7.028e-05 56410.3505 56410.4505 DMX_0115 
56428.3374 +2.0820803e-03 1.426e-05 56425.3417 56431.3330 DMX_0116 
56432.3465 +2.2209646e-03 7.262e-05 56432.2965 56432.3965 DMX_0117 
56450.7149 +2.2040075e-03 1.339e-05 56450.0931 56451.3367 DMX_0118 
56468.2133 +2.3386664e-03 1.393e-05 56465.2339 56471.1928 DMX_0119 
56472.0928 +2.4577900e-03 7.013e-05 56472.0428 56472.1428 DMX_0120 
56492.6786 +2.4723599e-03 1.391e-05 56492.1540 56493.2031 DMX_0121 
56522.5576 +2.6073729e-03 1.304e-05 56521.9902 56523.1249 DMX_0122 
56531.6125 +2.6376059e-03 6.579e-05 56531.0497 56532.1753 DMX_0123 
56549.9403 +2.6277200e-03 1.214e-05 56548.8598 56551.0208 DMX_0124 
56572.0065 +2.6274781e-03 5.794e-05 56571.9500 56572.0630 DMX_0125 
56585.3437 +2.7384042e-03 1.295e-05 56584.7804 56585.9071 DMX_0126 
56593.9347 +2.6142151e-03 1.809e-04 56593.8847 56593.9847 DMX_0127 
56606.8286 +2.8239365e-03 7.101e-05 56606.7786 56606.8786 DMX_0128 
56614.3331 +2.8425826e-03 1.280e-05 56613.8227 56614.8434 DMX_0129 
56634.8260 +2.7659809e-03 7.449e-05 56634.7662 56634.8858 DMX_0130 
56642.6647 +2.9036812e-03 1.547e-05 56641.5949 56643.7345 DMX_0131 
56654.7851 +3.2129287e-03 2.824e-04 56654.7351 56654.8351 DMX_0132 
56669.7317 +2.8022614e-03 7.120e-05 56669.6724 56669.7910 DMX_0133 
56676.6192 +2.9048356e-03 7.044e-05 56676.5692 56676.6692 DMX_0134 
56708.5556 +2.8435276e-03 1.703e-05 56707.5649 56709.5462 DMX_0135 
56737.5131 +3.0848736e-03 1.774e-05 56735.4254 56739.6009 DMX_0136 
56755.4934 +3.0625998e-03 8.404e-05 56755.4434 56755.5434 DMX_0137 
56762.9266 +2.9951639e-03 1.834e-05 56762.3345 56763.5186 DMX_0138 
56791.3529 +3.2127521e-03 1.674e-05 56790.3247 56792.3811 DMX_0139 
56828.7733 +3.1962596e-03 1.730e-05 56828.2286 56829.3180 DMX_0140 
56847.2009 +3.2586413e-03 6.491e-05 56844.1891 56850.2127 DMX_0141 
56851.1668 +3.3067824e-03 1.774e-05 56851.1168 56851.2168 DMX_0142 
56869.1867 +3.3134726e-03 7.146e-05 56869.1289 56869.2446 DMX_0143 
56886.0516 +3.3087344e-03 1.781e-05 56886.0016 56886.1016 DMX_0144 
56894.0669 +3.3353334e-03 1.768e-05 56894.0169 56894.1169 DMX_0145 
56922.4887 +3.1352883e-03 1.727e-05 56921.8951 56923.0822 DMX_0146 
56933.0215 +3.1123685e-03 7.170e-05 56932.9649 56933.0780 DMX_0147 
56947.4006 +3.0248690e-03 1.693e-05 56945.8836 56948.9175 DMX_0148 
56970.9266 +2.9954552e-03 7.864e-05 56970.8766 56970.9766 DMX_0149 
56978.3356 +2.7575468e-03 1.707e-05 56977.8130 56978.8583 DMX_0150 
