# Mean DMX value = -1.050608e-04 
# Uncertainty in average DM = 2.08522e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53420.6238 +3.6005529e-03 1.049e-04 53420.5569 53420.6908 DMX_0001 
53629.0066 +2.8673620e-03 9.335e-05 53628.9520 53629.0612 DMX_0002 
53659.9684 +2.6624360e-03 9.260e-05 53659.9052 53660.0315 DMX_0003 
53798.5900 +3.2337526e-03 1.171e-04 53798.5213 53798.6588 DMX_0004 
53926.2335 +3.0037382e-03 8.662e-05 53926.1652 53926.3017 DMX_0005 
53968.1279 +2.8998450e-03 8.346e-05 53968.0695 53968.1863 DMX_0006 
54043.9158 +2.6434624e-03 9.170e-05 54043.8489 54043.9828 DMX_0007 
54135.6558 +2.5250121e-03 1.147e-04 54135.5929 54135.7187 DMX_0008 
54819.7852 +2.2961854e-03 9.614e-05 54819.7138 54819.8567 DMX_0009 
54862.6537 +2.1854235e-03 8.375e-05 54862.5941 54862.7132 DMX_0010 
54925.5038 +2.1656261e-03 8.346e-05 54925.4386 54925.5690 DMX_0011 
55042.1604 +2.0933746e-03 8.562e-05 55042.1043 55042.2165 DMX_0012 
55088.0257 +1.8293915e-03 8.575e-05 55087.9672 55088.0841 DMX_0013 
55206.6991 +9.5979745e-04 9.897e-05 55206.6425 55206.7557 DMX_0014 
55357.2962 +7.9308588e-04 1.068e-04 55357.2386 55357.3539 DMX_0015 
55527.8473 +1.4440973e-05 1.011e-04 55527.7913 55527.9032 DMX_0016 
55639.5080 +3.0484592e-04 8.589e-05 55639.4506 55639.5655 DMX_0017 
55678.3969 +6.5586660e-04 8.234e-05 55678.3395 55678.4543 DMX_0018 
55759.1579 +1.6637698e-03 7.290e-05 55759.0988 55759.2170 DMX_0019 
55791.0634 +1.6562596e-03 6.828e-05 55791.0008 55791.1261 DMX_0020 
55820.0244 +1.9266597e-03 6.470e-05 55819.9646 55820.0843 DMX_0021 
