# Mean DMX value = +1.010996e-04 
# Uncertainty in average DM = 1.01752e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53271.2239 +2.4445014e-03 1.582e-05 53267.0360 53275.4119 DMX_0001 
53292.6039 +2.5232595e-03 1.710e-05 53291.9474 53293.2605 DMX_0002 
53349.8921 +2.6675183e-03 1.986e-05 53343.7877 53355.9964 DMX_0003 
53447.5803 +2.9610641e-03 2.330e-05 53446.3555 53448.8051 DMX_0004 
53768.9994 +2.4824456e-03 2.127e-05 53766.4276 53771.5712 DMX_0005 
53799.4058 +2.5834348e-03 1.604e-05 53798.2558 53800.5558 DMX_0006 
53838.7983 +2.5872450e-03 1.505e-05 53838.1527 53839.4439 DMX_0007 
53858.7442 +2.4665760e-03 1.526e-05 53858.0935 53859.3950 DMX_0008 
53889.6540 +2.5998759e-03 1.808e-05 53889.0059 53890.3020 DMX_0009 
53918.5757 +2.5839511e-03 1.961e-05 53917.9259 53919.2255 DMX_0010 
53980.9039 +2.5507807e-03 1.958e-05 53979.7570 53982.0508 DMX_0011 
54011.8197 +2.3765531e-03 2.333e-05 54009.6763 54013.9631 DMX_0012 
54036.2372 +2.0998784e-03 2.378e-05 54035.6044 54036.8700 DMX_0013 
54068.6628 +1.8081563e-03 2.529e-05 54064.5241 54072.8015 DMX_0014 
54101.0740 +1.9625948e-03 3.030e-05 54100.4271 54101.7208 DMX_0015 
54374.3297 +1.7061471e-03 2.907e-05 54373.6817 54374.9777 DMX_0016 
54429.1840 +1.4217884e-03 2.209e-05 54428.5325 54429.8355 DMX_0017 
54464.0910 +1.4889175e-03 2.442e-05 54462.4518 54465.7301 DMX_0018 
54527.9131 +1.4498750e-03 2.539e-05 54526.2677 54529.5586 DMX_0019 
54552.8462 +1.2937811e-03 2.598e-05 54552.1965 54553.4959 DMX_0020 
54642.6031 +8.2995290e-04 2.144e-05 54640.9547 54644.2515 DMX_0021 
54673.5138 +1.0071996e-03 2.216e-05 54672.8675 54674.1600 DMX_0022 
54709.0114 +1.2694082e-03 1.947e-05 54706.8686 54711.1543 DMX_0023 
54758.3412 +1.4985603e-03 2.041e-05 54751.7648 54764.9176 DMX_0024 
54790.7491 +1.5826333e-03 2.071e-05 54784.6693 54796.8289 DMX_0025 
54824.1040 +1.5740422e-03 2.078e-05 54820.4639 54827.7441 DMX_0026 
54853.0248 +1.4555789e-03 2.054e-05 54850.3812 54855.6683 DMX_0027 
54882.9978 +1.5304767e-03 2.083e-05 54880.4093 54885.5863 DMX_0028 
54914.8555 +1.4471224e-03 2.030e-05 54913.2098 54916.5011 DMX_0029 
54945.2237 +1.4308236e-03 1.972e-05 54942.1304 54948.3171 DMX_0030 
54977.3260 +1.2473789e-03 2.094e-05 54976.3198 54978.3322 DMX_0031 
55004.6096 +1.2925011e-03 2.090e-05 55003.9607 55005.2584 DMX_0032 
55030.5387 +1.2741838e-03 2.120e-05 55029.8901 55031.1874 DMX_0033 
55069.4323 +1.2004139e-03 2.160e-05 55065.7918 55073.0727 DMX_0034 
55097.8370 +1.0549665e-03 2.403e-05 55094.6951 55100.9789 DMX_0035 
