# Mean DMX value = -2.815439e-04 
# Uncertainty in average DM = 1.08208e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55760.2312 +2.5175608e-03 3.228e-04 55760.1737 55760.2887 DMX_0001 
55819.0576 +3.2347293e-03 3.148e-04 55818.9982 55819.1170 DMX_0002 
55849.9745 +3.5597612e-03 3.115e-04 55849.9162 55850.0329 DMX_0003 
55876.9068 +3.0156553e-03 3.129e-04 55876.8464 55876.9672 DMX_0004 
55911.8061 +3.2017497e-03 3.097e-04 55911.7473 55911.8648 DMX_0005 
55935.7422 +2.6951589e-03 3.098e-04 55935.6826 55935.8018 DMX_0006 
56018.5289 +2.2314270e-03 3.147e-04 56018.4733 56018.5846 DMX_0007 
56058.4262 +1.9554374e-03 6.771e-04 56058.3762 56058.4762 DMX_0008 
56107.2881 +1.8822148e-03 6.166e-04 56107.2381 56107.3381 DMX_0009 
56137.2015 +1.2834219e-03 5.658e-04 56137.1515 56137.2515 DMX_0010 
56168.1211 +1.0138507e-03 5.288e-04 56168.0711 56168.1711 DMX_0011 
56290.7691 +1.3306472e-03 2.531e-04 56290.7113 56290.8269 DMX_0012 
56304.7262 +1.0890548e-03 2.679e-04 56304.6678 56304.7846 DMX_0013 
56326.6715 +1.3791378e-03 2.331e-04 56326.6120 56326.7311 DMX_0014 
56346.6163 +9.9549095e-04 2.241e-04 56346.5569 56346.6757 DMX_0015 
56367.5606 +8.4074829e-04 2.152e-04 56367.4973 56367.6240 DMX_0016 
56384.5104 +6.8846445e-04 2.099e-04 56384.4512 56384.5697 DMX_0017 
56407.4577 +2.5819724e-04 2.103e-04 56407.3996 56407.5157 DMX_0018 
56426.3953 +5.6090672e-04 2.195e-04 56426.3364 56426.4542 DMX_0019 
56447.3333 +4.4185287e-04 2.181e-04 56447.2727 56447.3939 DMX_0020 
56467.2978 +8.0952055e-04 2.478e-04 56467.2417 56467.3539 DMX_0021 
56549.0496 +9.7154235e-04 2.369e-04 56548.9914 56549.1079 DMX_0022 
56569.9949 +5.3479886e-04 2.245e-04 56569.9366 56570.0531 DMX_0023 
56591.9406 +1.2745095e-03 3.110e-04 56591.8906 56591.9906 DMX_0024 
56627.8514 +1.3766046e-03 2.309e-04 56627.7927 56627.9100 DMX_0025 
56647.7858 +1.3537089e-03 2.318e-04 56647.7271 56647.8445 DMX_0026 
56661.7615 +8.7559400e-04 3.098e-04 56661.7115 56661.8115 DMX_0027 
56846.2526 +6.9811808e-04 2.574e-04 56846.1932 56846.3120 DMX_0028 
56883.1491 +3.8566939e-04 2.599e-04 56883.0895 56883.2088 DMX_0029 
56932.0253 +1.1848348e-03 3.217e-04 56931.9753 56932.0753 DMX_0030 
56951.9708 +1.1872811e-03 3.007e-04 56951.9208 56952.0208 DMX_0031 
56972.8996 +1.4313765e-04 2.133e-04 56972.8399 56972.9593 DMX_0032 
56992.8471 +8.7728379e-04 2.027e-04 56992.7885 56992.9058 DMX_0033 
57015.7984 +9.5548436e-04 2.421e-04 57015.7421 57015.8547 DMX_0034 
57054.6782 +1.4876045e-03 6.368e-04 57054.6282 57054.7282 DMX_0035 
57075.6346 +6.9433153e-04 2.576e-04 57075.5777 57075.6915 DMX_0036 
57095.5731 +8.5671401e-04 2.119e-04 57095.5153 57095.6308 DMX_0037 
57117.5242 +1.1617249e-03 2.347e-04 57117.4711 57117.5773 DMX_0038 
57138.4594 +1.1001882e-03 2.263e-04 57138.4015 57138.5174 DMX_0039 
57185.3263 +1.2002995e-03 2.287e-04 57185.2685 57185.3840 DMX_0040 
57201.2826 +1.2535928e-03 2.388e-04 57201.2248 57201.3405 DMX_0041 
57242.1708 +4.8356822e-04 2.634e-04 57242.1132 57242.2284 DMX_0042 
57265.1063 +9.2459992e-04 2.416e-04 57265.0485 57265.1641 DMX_0043 
57327.9447 +1.8336868e-03 3.952e-04 57327.8947 57327.9947 DMX_0044 
57348.8776 +1.3276762e-03 2.525e-04 57348.8200 57348.9352 DMX_0045 
57376.8090 +1.1556451e-03 3.415e-04 57376.7590 57376.8590 DMX_0046 
57410.7105 +1.8825605e-03 2.444e-04 57410.6524 57410.7687 DMX_0047 
57433.6482 +1.8761416e-03 2.450e-04 57433.5902 57433.7062 DMX_0048 
57508.4459 +7.8327730e-04 3.737e-04 57508.3959 57508.4959 DMX_0049 
57536.3769 +9.8231151e-04 2.417e-04 57536.3188 57536.4350 DMX_0050 
57557.2991 +9.5987746e-04 2.158e-04 57557.2405 57557.3576 DMX_0051 
57579.2424 +6.1140927e-04 2.164e-04 57579.1840 57579.3007 DMX_0052 
57594.2192 +9.4350120e-04 2.405e-04 57594.1634 57594.2751 DMX_0053 
57622.1324 +2.4455498e-04 2.101e-04 57622.0744 57622.1903 DMX_0054 
57640.0723 +2.0035532e-04 2.037e-04 57640.0141 57640.1305 DMX_0055 
57666.9997 -3.5452805e-04 2.196e-04 57666.9414 57667.0580 DMX_0056 
57686.9460 -4.6339587e-04 2.211e-04 57686.8878 57687.0041 DMX_0057 
57710.8787 -9.0682579e-04 2.080e-04 57710.8204 57710.9371 DMX_0058 
57733.8156 -4.8769040e-04 2.050e-04 57733.7576 57733.8737 DMX_0059 
57752.7748 -1.3650435e-03 1.946e-04 57752.7172 57752.8325 DMX_0060 
57775.7008 -1.1503478e-03 1.893e-04 57775.6427 57775.7589 DMX_0061 
57789.6618 -1.0227868e-03 1.925e-04 57789.6044 57789.7193 DMX_0062 
57804.6243 -1.0065181e-03 2.031e-04 57804.5662 57804.6825 DMX_0063 
57823.5728 -1.3565829e-03 2.036e-04 57823.5147 57823.6309 DMX_0064 
57844.5230 -1.4704344e-03 2.195e-04 57844.4659 57844.5802 DMX_0065 
57865.4649 -1.8136243e-03 2.391e-04 57865.4069 57865.5229 DMX_0066 
57873.4339 -1.1693024e-03 2.272e-04 57873.3756 57873.4921 DMX_0067 
57885.4003 -1.6947565e-03 2.248e-04 57885.3423 57885.4583 DMX_0068 
57907.3433 -1.3072740e-03 2.206e-04 57907.2852 57907.4013 DMX_0069 
57949.2402 -1.8440135e-03 2.604e-04 57949.1829 57949.2976 DMX_0070 
57970.1633 -2.3511296e-03 3.515e-04 57970.1133 57970.2133 DMX_0071 
58463.8082 -4.8287649e-04 2.888e-04 58463.7507 58463.8657 DMX_0072 
58508.6853 -7.1958247e-05 2.617e-04 58508.6283 58508.7422 DMX_0073 
58528.6362 -3.9200587e-04 2.470e-04 58528.5789 58528.6935 DMX_0074 
58565.5462 -5.5122209e-04 2.605e-04 58565.4889 58565.6035 DMX_0075 
58586.4675 -1.0897798e-03 2.333e-04 58586.4107 58586.5243 DMX_0076 
58608.4361 -2.8661219e-04 3.612e-04 58608.3861 58608.4861 DMX_0077 
58628.3523 -7.0923138e-04 2.406e-04 58628.2959 58628.4086 DMX_0078 
58650.3037 -7.1881651e-04 2.128e-04 58650.2464 58650.3611 DMX_0079 
58661.2814 -1.3356828e-03 2.027e-04 58661.2238 58661.3390 DMX_0080 
58675.2320 -1.5764279e-03 2.209e-04 58675.1748 58675.2891 DMX_0081 
58691.2232 -5.8254612e-04 2.040e-03 58691.1732 58691.2732 DMX_0082 
58713.1365 -1.3607567e-03 2.433e-04 58713.0793 58713.1937 DMX_0083 
58739.0543 -2.0165965e-03 2.397e-04 58738.9972 58739.1114 DMX_0084 
58755.0166 -1.9498779e-03 2.467e-04 58754.9593 58755.0739 DMX_0085 
58777.9483 -2.7022080e-03 2.447e-04 58777.8906 58778.0059 DMX_0086 
58818.8407 -2.7023973e-03 2.675e-04 58818.7833 58818.8980 DMX_0087 
58936.5388 -4.2635490e-03 2.895e-04 58936.4842 58936.5935 DMX_0088 
58957.4792 -4.2292169e-03 2.552e-04 58957.4209 58957.5376 DMX_0089 
58978.3981 -4.0164357e-03 3.133e-04 58978.3413 58978.4550 DMX_0090 
58999.3672 -4.4452969e-03 2.603e-04 58999.3094 58999.4250 DMX_0091 
59026.2846 -4.3848519e-03 2.422e-04 59026.2260 59026.3432 DMX_0092 
59043.2443 -4.6731757e-03 2.451e-04 59043.1857 59043.3029 DMX_0093 
59065.1893 -4.4614002e-03 2.849e-04 59065.1308 59065.2479 DMX_0094 
