# Mean DMX value = +4.380136e-05 
# Uncertainty in average DM = 1.61266e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53449.4727 +8.2440215e-04 6.445e-05 53448.6655 53450.2800 DMX_0001 
53653.1287 +9.0990502e-04 5.664e-05 53651.4820 53654.7754 DMX_0002 
53688.0417 +9.2449184e-04 1.012e-04 53681.3975 53694.6860 DMX_0003 
53737.3918 +9.0079347e-04 5.620e-05 53736.2381 53738.5455 DMX_0004 
53768.8571 +7.8255395e-04 4.444e-05 53766.2621 53771.4521 DMX_0005 
53799.2405 +7.1696145e-04 5.524e-05 53798.0906 53800.3904 DMX_0006 
53838.6165 +7.0033857e-04 3.900e-05 53837.9690 53839.2639 DMX_0007 
53858.5691 +8.1140486e-04 4.310e-05 53857.9230 53859.2152 DMX_0008 
53889.4843 +8.2796445e-04 4.746e-05 53888.8356 53890.1330 DMX_0009 
53918.4024 +9.9267492e-04 5.047e-05 53917.7555 53919.0494 DMX_0010 
53980.7282 +1.1703637e-03 5.225e-05 53979.5819 53981.8745 DMX_0011 
54011.6432 +1.1030146e-03 6.262e-05 54009.4968 54013.7895 DMX_0012 
54036.0567 +1.0857322e-03 5.522e-05 54035.4274 54036.6859 DMX_0013 
54068.4872 +9.4203410e-04 5.552e-05 54064.3473 54072.6271 DMX_0014 
54100.9017 +9.2338721e-04 5.722e-05 54100.2511 54101.5522 DMX_0015 
54156.7500 +7.8885664e-04 5.905e-05 54156.1041 54157.3958 DMX_0016 
54184.6665 +8.8667804e-04 6.047e-05 54184.0144 54185.3186 DMX_0017 
54219.0762 +9.4897691e-04 6.392e-05 54217.9279 54220.2245 DMX_0018 
54374.1530 +1.2166872e-03 6.204e-05 54373.5053 54374.8007 DMX_0019 
54401.0781 +1.1501282e-03 6.275e-05 54400.4322 54401.7239 DMX_0020 
54463.9079 +1.0486638e-03 5.596e-05 54462.2611 54465.5546 DMX_0021 
54494.8083 +1.0278851e-03 6.718e-05 54494.1462 54495.4704 DMX_0022 
54552.6714 +9.5880276e-04 5.763e-05 54552.0218 54553.3210 DMX_0023 
54578.5942 +1.0051856e-03 5.507e-05 54575.9457 54581.2428 DMX_0024 
54641.4197 +1.1363724e-03 5.801e-05 54640.7728 54642.0665 DMX_0025 
54673.3285 +1.1290890e-03 6.479e-05 54672.6786 54673.9784 DMX_0026 
54709.2344 +1.2012053e-03 7.770e-05 54707.5920 54710.8767 DMX_0027 
54767.0765 +1.0993206e-03 5.753e-05 54765.4284 54768.7246 DMX_0028 
54789.5174 +1.1164334e-03 6.059e-05 54784.3817 54794.6531 DMX_0029 
54823.9181 +1.0104190e-03 6.350e-05 54820.2789 54827.5573 DMX_0030 
54852.8382 +8.7249797e-04 6.688e-05 54850.1950 54855.4815 DMX_0031 
54883.7556 +7.5755153e-04 6.381e-05 54882.1074 54885.4038 DMX_0032 
54945.0885 +8.8672989e-04 6.465e-05 54941.9433 54948.2337 DMX_0033 
54975.5053 +8.2097166e-04 6.514e-05 54972.8640 54978.1466 DMX_0034 
55004.4224 +8.8848762e-04 5.681e-05 55003.7738 55005.0711 DMX_0035 
55069.2462 +8.3805906e-04 5.530e-05 55065.6068 55072.8856 DMX_0036 
55097.6230 +8.7482763e-04 5.932e-05 55094.4825 55100.7636 DMX_0037 
55120.5620 +7.9393342e-04 5.577e-05 55118.4175 55122.7065 DMX_0038 
55155.9966 +7.5682123e-04 9.235e-05 55154.3303 55157.6630 DMX_0039 
55244.2221 +7.6525985e-04 6.148e-05 55243.0759 55245.3683 DMX_0040 
55276.6327 +6.9674230e-04 3.462e-05 55275.0864 55278.1790 DMX_0041 
55306.0517 +7.4854126e-04 3.530e-05 55305.0043 55307.0992 DMX_0042 
55338.4638 +7.9396395e-04 3.425e-05 55336.9182 55340.0095 DMX_0043 
55362.9416 +7.4159625e-04 5.023e-05 55360.8772 55365.0061 DMX_0044 
55392.8844 +7.8646573e-04 7.148e-05 55389.8471 55395.9216 DMX_0045 
55430.2679 +8.9902794e-04 3.109e-05 55429.7113 55430.8245 DMX_0046 
55462.6865 +9.2607362e-04 3.615e-05 55461.6385 55463.7345 DMX_0047 
55493.5383 +8.7680876e-04 3.408e-05 55493.4883 55493.5883 DMX_0048 
55520.9639 +7.7146446e-04 3.352e-05 55520.4155 55521.5123 DMX_0049 
55542.9671 +7.5103650e-04 3.860e-05 55542.4209 55543.5132 DMX_0050 
55549.3908 +7.4746125e-04 3.472e-05 55549.3408 55549.4408 DMX_0051 
55578.8648 +7.5994278e-04 3.294e-05 55578.3123 55579.4172 DMX_0052 
