# Mean DMX value = +1.318408e-04 
# Uncertainty in average DM = 1.32715e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53218.0806 +7.1640205e-03 3.584e-04 53216.9491 53219.2121 DMX_0001 
53292.4460 +7.9113596e-03 2.520e-04 53291.7894 53293.1026 DMX_0002 
53448.2994 +9.0975074e-03 2.385e-04 53446.1747 53450.4241 DMX_0003 
53535.5512 +8.8676979e-03 3.003e-04 53534.8949 53536.2075 DMX_0004 
53737.4732 +7.6707843e-03 2.610e-04 53736.3171 53738.6294 DMX_0005 
53770.3455 +7.5666035e-03 2.756e-04 53769.2497 53771.4413 DMX_0006 
53799.3222 +7.4092373e-03 2.249e-04 53798.1722 53800.4722 DMX_0007 
53838.7146 +7.3876372e-03 2.143e-04 53838.0679 53839.3612 DMX_0008 
53858.6611 +7.2003350e-03 2.180e-04 53858.0164 53859.3057 DMX_0009 
53889.5754 +7.2735817e-03 2.200e-04 53888.9296 53890.2211 DMX_0010 
53918.4953 +6.9102095e-03 2.423e-04 53917.8460 53919.1446 DMX_0011 
53980.8246 +6.1858125e-03 2.521e-04 53979.6770 53981.9721 DMX_0012 
54011.7399 +6.2711596e-03 3.125e-04 54009.5949 54013.8849 DMX_0013 
54036.1550 +6.1784979e-03 3.411e-04 54035.5241 54036.7859 DMX_0014 
54100.9951 +5.6545641e-03 3.652e-04 54100.3464 54101.6438 DMX_0015 
54374.2498 +6.5059011e-03 3.744e-04 54373.5994 54374.9002 DMX_0016 
54401.1772 +5.6967815e-03 3.887e-04 54400.5294 54401.8251 DMX_0017 
54463.9946 +5.7017041e-03 4.114e-04 54462.3488 54465.6403 DMX_0018 
54527.8146 +4.5396707e-03 3.276e-04 54526.1673 54529.4619 DMX_0019 
54551.7452 +3.8936166e-03 3.716e-04 54551.0954 54552.3950 DMX_0020 
54578.6751 +4.0921717e-03 3.836e-04 54576.0257 54581.3246 DMX_0021 
54641.5074 +4.7097405e-03 4.467e-04 54640.8638 54642.1509 DMX_0022 
54673.4150 +4.8990719e-03 3.757e-04 54672.7663 54674.0636 DMX_0023 
54709.3167 +4.9062459e-03 3.920e-04 54707.6708 54710.9626 DMX_0024 
54767.1583 +5.3192262e-03 4.363e-04 54765.5123 54768.8042 DMX_0025 
54852.9238 +4.2332125e-03 4.103e-04 54850.2807 54855.5669 DMX_0026 
54883.8396 +4.5555610e-03 3.695e-04 54882.1937 54885.4855 DMX_0027 
54914.7544 +3.7943429e-03 3.687e-04 54913.1086 54916.4002 DMX_0028 
54945.1220 +4.0799199e-03 3.259e-04 54942.0292 54948.2147 DMX_0029 
54975.5878 +4.7442362e-03 3.728e-04 54972.9447 54978.2309 DMX_0030 
55004.5086 +5.2039286e-03 3.756e-04 55003.8600 55005.1573 DMX_0031 
55030.4376 +5.9951305e-03 3.759e-04 55029.7889 55031.0863 DMX_0032 
55069.3312 +7.0472051e-03 3.810e-04 55065.6909 55072.9715 DMX_0033 
55097.7467 +5.9329224e-03 3.968e-04 55094.6045 55100.8889 DMX_0034 
55120.6840 +5.4205161e-03 4.281e-04 55118.5394 55122.8286 DMX_0035 
55215.4261 +3.0838904e-03 3.994e-04 55214.2802 55216.5719 DMX_0036 
55244.3454 +2.9643526e-03 3.197e-04 55243.1984 55245.4924 DMX_0037 
55276.7566 +2.7776825e-03 2.405e-04 55275.2108 55278.3025 DMX_0038 
55306.1759 +3.0423651e-03 2.382e-04 55305.1294 55307.2223 DMX_0039 
55338.5913 +3.4187852e-03 3.105e-04 55337.0421 55340.1406 DMX_0040 
55363.0419 +4.1498334e-03 2.376e-04 55360.9769 55365.1070 DMX_0041 
55392.9888 +5.1210561e-03 2.340e-04 55389.9521 55396.0255 DMX_0042 
55430.3812 +5.2161400e-03 2.426e-04 55429.8320 55430.9304 DMX_0043 
55462.7928 +4.4827022e-03 2.344e-04 55461.7458 55463.8399 DMX_0044 
55493.1643 +4.4058043e-03 2.452e-04 55492.6159 55493.7127 DMX_0045 
55520.5894 +3.5952326e-03 4.469e-04 55520.5394 55520.6394 DMX_0046 
55521.5867 +4.2833073e-03 2.442e-04 55521.5367 55521.6367 DMX_0047 
55542.5734 +3.3505923e-03 2.459e-04 55542.5234 55542.6234 DMX_0048 
55543.5721 +2.7700518e-03 4.560e-04 55543.5221 55543.6221 DMX_0049 
55578.9741 +2.4612724e-03 2.549e-04 55578.4260 55579.5223 DMX_0050 
55616.8259 +2.3439566e-03 2.313e-04 55616.2772 55617.3745 DMX_0051 
55640.3068 +2.5106560e-03 2.315e-04 55639.2593 55641.3542 DMX_0052 
55672.2188 +3.0713442e-03 2.298e-04 55670.1746 55674.2630 DMX_0053 
55702.1372 +3.6087929e-03 2.383e-04 55700.0927 55704.1818 DMX_0054 
55731.5565 +3.7580681e-03 2.538e-04 55731.0083 55732.1046 DMX_0055 
55765.9174 +3.8359676e-03 2.449e-04 55765.8674 55765.9674 DMX_0056 
55773.8961 +3.3359984e-03 4.384e-04 55773.8461 55773.9461 DMX_0057 
55800.3234 +3.1875046e-03 2.462e-04 55799.7749 55800.8720 DMX_0058 
55827.7555 +2.9869369e-03 2.484e-04 55826.7083 55828.8026 DMX_0059 
55864.1531 +2.3412867e-03 2.599e-04 55863.6065 55864.6997 DMX_0060 
55892.5774 +2.0559707e-03 4.658e-04 55892.5274 55892.6274 DMX_0061 
55893.5753 +2.2234818e-03 2.457e-04 55893.5253 55893.6253 DMX_0062 
55919.0053 +1.0211737e-03 2.481e-04 55918.4566 55919.5540 DMX_0063 
55948.9235 +3.2379610e-04 2.315e-04 55948.3750 55949.4720 DMX_0064 
55976.9658 +5.1444063e-04 2.291e-04 55976.4146 55977.5169 DMX_0065 
56002.9066 +3.5483816e-04 2.335e-04 56002.3796 56003.4336 DMX_0066 
56034.7923 +3.0686217e-04 2.305e-04 56034.2368 56035.3477 DMX_0067 
56067.2236 +1.3460274e-03 2.337e-04 56066.1555 56068.2918 DMX_0068 
