# Mean DMX value = +2.634809e-05 
# Uncertainty in average DM = 8.82730e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53420.5058 +4.8989314e-04 9.003e-05 53420.4373 53420.5744 DMX_0001 
53448.4219 +2.8365809e-04 6.947e-05 53448.3522 53448.4917 DMX_0002 
53477.3477 +2.7285109e-04 7.699e-05 53477.2770 53477.4185 DMX_0003 
53505.2925 +2.4301486e-04 8.260e-05 53505.2340 53505.3509 DMX_0004 
53569.0711 +3.7800236e-04 6.925e-05 53568.9974 53569.1448 DMX_0005 
53628.9239 +4.6413921e-04 6.359e-05 53628.8539 53628.9939 DMX_0006 
53686.7576 +4.5976972e-04 5.730e-05 53686.6879 53686.8272 DMX_0007 
53715.6922 +1.0967247e-04 1.430e-04 53715.6214 53715.7629 DMX_0008 
53750.5895 +3.8683164e-04 6.106e-05 53750.5204 53750.6586 DMX_0009 
53798.4559 +3.1704555e-04 6.803e-05 53798.3823 53798.5295 DMX_0010 
53891.2083 +3.8334770e-04 6.473e-05 53891.1367 53891.2799 DMX_0011 
54008.9117 +4.0415469e-04 8.543e-05 54008.8530 54008.9704 DMX_0012 
54043.7905 +3.7613362e-04 5.824e-05 54043.7222 54043.8589 DMX_0013 
54135.5413 +2.9429430e-04 6.354e-05 54135.4724 54135.6103 DMX_0014 
54519.4888 +1.8306768e-04 7.475e-05 54519.4218 54519.5557 DMX_0015 
54678.0557 +2.6018295e-04 6.601e-05 54677.9867 54678.1247 DMX_0016 
54819.6691 +8.9273130e-06 7.777e-05 54819.6026 54819.7356 DMX_0017 
54862.5451 -8.7548697e-05 6.175e-05 54862.4752 54862.6150 DMX_0018 
54999.1444 +1.0286252e-04 7.460e-05 54999.0875 54999.2013 DMX_0019 
55041.0407 +2.2963547e-04 8.058e-05 55040.9813 55041.1000 DMX_0020 
55170.6724 +2.7451495e-04 7.502e-05 55170.6127 55170.7321 DMX_0021 
55205.5788 +3.1784507e-04 6.872e-05 55205.5198 55205.6377 DMX_0022 
55298.3467 +2.7356451e-04 7.036e-05 55298.2893 55298.4040 DMX_0023 
55330.2599 +2.1623646e-04 6.932e-05 55330.2025 55330.3173 DMX_0024 
55424.0033 +3.4698116e-04 7.570e-05 55423.9431 55424.0635 DMX_0025 
55500.7765 +3.2555068e-04 7.159e-05 55500.7182 55500.8347 DMX_0026 
55609.4936 +4.0825188e-04 5.728e-05 55609.4048 55609.5825 DMX_0027 
55638.3907 +2.8941069e-04 6.301e-05 55638.3326 55638.4488 DMX_0028 
55677.2868 +4.5177429e-04 1.054e-04 55677.2207 55677.3528 DMX_0029 
55701.2207 +3.2713783e-04 7.102e-05 55701.1591 55701.2822 DMX_0030 
55702.2502 +5.9511857e-04 3.021e-04 55702.1961 55702.3044 DMX_0031 
55731.1454 +3.3102691e-04 6.197e-05 55731.0851 55731.2056 DMX_0032 
55758.0715 +1.7945783e-04 9.584e-05 55758.0080 55758.1349 DMX_0033 
55788.9875 +3.2094386e-04 6.692e-05 55788.9273 55789.0478 DMX_0034 
55817.9108 +1.7297265e-04 6.188e-05 55817.8502 55817.9714 DMX_0035 
55843.8543 +1.6732568e-04 6.414e-05 55843.7959 55843.9126 DMX_0036 
55912.6510 +1.5144638e-04 6.610e-05 55912.5912 55912.7107 DMX_0037 
55954.5355 +3.6418430e-04 8.713e-05 55954.4687 55954.6022 DMX_0038 
55989.4522 +1.0495513e-04 3.731e-05 55989.3911 55989.5132 DMX_0039 
56023.3575 +1.4704316e-04 3.456e-05 56023.2962 56023.4187 DMX_0040 
56038.3405 +3.4221615e-04 3.786e-05 56038.2800 56038.4010 DMX_0041 
56044.3166 +3.3817930e-05 2.927e-05 56044.2512 56044.3821 DMX_0042 
56057.2714 +2.2157320e-04 4.211e-05 56057.2118 56057.3309 DMX_0043 
56106.1397 +2.5361383e-04 5.930e-05 56106.0774 56106.2020 DMX_0044 
56140.0489 +1.8465228e-04 3.890e-05 56139.9841 56140.1137 DMX_0045 
56165.9709 +2.0725360e-04 3.141e-05 56165.8998 56166.0421 DMX_0046 
56201.8742 +3.6400140e-04 2.330e-05 56201.8145 56201.9338 DMX_0047 
56235.7711 +3.2267004e-04 4.418e-05 56235.7102 56235.8321 DMX_0048 
56277.6660 +4.5039626e-04 7.427e-05 56277.6160 56277.7160 DMX_0049 
56299.5866 +3.1752867e-04 5.747e-05 56299.5271 56299.6461 DMX_0050 
56319.5343 +2.2654885e-04 4.528e-05 56319.4761 56319.5926 DMX_0051 
56341.4899 +1.2040697e-04 3.832e-05 56341.4298 56341.5501 DMX_0052 
56360.4446 +1.9108888e-04 7.088e-05 56360.3889 56360.5004 DMX_0053 
56380.3736 +1.6944199e-04 2.864e-05 56380.3053 56380.4419 DMX_0054 
56399.3299 +5.9451321e-05 1.123e-04 56399.2799 56399.3799 DMX_0055 
56417.2795 -3.3202258e-05 2.662e-05 56417.2138 56417.3452 DMX_0056 
56438.2164 +8.0440221e-05 2.786e-05 56438.1513 56438.2814 DMX_0057 
56447.2277 +1.1292923e-04 2.829e-05 56447.1677 56447.2877 DMX_0058 
56458.1662 +1.2121375e-04 3.710e-05 56458.1006 56458.2317 DMX_0059 
