# Mean DMX value = -1.010967e-05 
# Uncertainty in average DM = 4.73842e-06 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53798.1992 +2.1488500e-04 4.523e-05 53798.1992 53798.1992 DMX_0001 
53838.0941 +2.9143482e-04 3.018e-05 53838.0941 53838.0941 DMX_0002 
53858.0446 +2.7558789e-04 3.551e-05 53858.0446 53858.0446 DMX_0003 
53888.9528 +3.8816360e-04 3.421e-05 53888.9528 53888.9528 DMX_0004 
53917.8737 +3.2416955e-04 2.626e-05 53917.8737 53917.8737 DMX_0005 
53979.7037 +4.0889819e-04 2.124e-05 53979.7037 53979.7037 DMX_0006 
54009.6221 +2.9680424e-04 2.788e-05 54009.6221 54009.6221 DMX_0007 
54035.5525 +2.7473118e-04 2.956e-05 54035.5525 54035.5525 DMX_0008 
54064.4714 +2.3272983e-04 6.106e-05 54064.4714 54064.4714 DMX_0009 
54100.3742 +2.9247190e-04 3.523e-05 54100.3742 54100.3742 DMX_0010 
54133.3160 +1.6753022e-04 4.025e-05 54133.3160 54133.3160 DMX_0011 
54218.0936 +1.2554394e-04 2.934e-05 54218.0936 54218.0936 DMX_0012 
54373.6258 +1.3816353e-04 4.592e-05 54373.6258 54373.6258 DMX_0013 
54400.5527 +1.4665378e-04 3.039e-05 54400.5527 54400.5527 DMX_0014 
54428.4846 +2.2143735e-04 3.717e-05 54428.4846 54428.4846 DMX_0015 
54462.3954 +1.9136598e-04 6.831e-05 54462.3954 54462.3954 DMX_0016 
54526.2132 +3.1317447e-05 2.262e-05 54526.2132 54526.2132 DMX_0017 
54551.1501 +2.0493829e-04 2.625e-05 54551.1501 54551.1501 DMX_0018 
54578.0800 +1.3440974e-04 2.820e-05 54578.0800 54578.0800 DMX_0019 
54640.9055 +8.1225384e-05 4.191e-05 54640.9055 54640.9055 DMX_0020 
54672.8118 +1.1770508e-04 2.256e-05 54672.8118 54672.8118 DMX_0021 
54707.7163 +3.0781603e-05 4.538e-05 54707.7163 54707.7163 DMX_0022 
54751.7224 -5.3475124e-04 2.387e-05 54751.7224 54751.7224 DMX_0023 
54820.4093 -1.5317009e-04 3.439e-05 54820.4093 54820.4093 DMX_0024 
54850.3262 -2.5251161e-04 7.022e-05 54850.3262 54850.3262 DMX_0025 
54882.2393 -3.4194458e-04 2.737e-05 54882.2393 54882.2393 DMX_0026 
54913.1541 -2.5776394e-04 3.684e-05 54913.1541 54913.1541 DMX_0027 
54942.0746 -2.2759144e-04 3.879e-05 54942.0746 54942.0746 DMX_0028 
54972.9902 -1.7069513e-04 3.637e-05 54972.9902 54972.9902 DMX_0029 
55003.9057 -1.8530008e-04 2.590e-05 55003.9057 55003.9057 DMX_0030 
55029.8358 -1.4824286e-04 5.063e-05 55029.8358 55029.8358 DMX_0031 
55065.7363 -2.4250487e-04 2.176e-05 55065.7363 55065.7363 DMX_0032 
55094.5588 -6.0072770e-05 4.820e-05 55094.5588 55094.5588 DMX_0033 
55118.4932 -7.4228395e-06 2.985e-05 55118.4932 55118.4932 DMX_0034 
55154.3950 +6.2858723e-05 2.830e-05 55154.3950 55154.3950 DMX_0035 
55214.2331 +1.6654118e-05 2.137e-05 55214.2331 55214.2331 DMX_0036 
55243.1534 +4.3749455e-05 2.984e-05 55243.1534 55243.1534 DMX_0037 
55275.1592 +6.3677961e-05 2.762e-05 55275.1592 55275.1592 DMX_0038 
55305.0764 +1.7631179e-04 3.428e-05 55305.0764 55305.0764 DMX_0039 
55336.9899 +9.8571623e-05 2.514e-05 55336.9899 55336.9899 DMX_0040 
55360.9243 +9.9244885e-05 2.899e-05 55360.9243 55360.9243 DMX_0041 
55389.8999 +1.5363544e-04 2.735e-05 55389.8999 55389.8999 DMX_0042 
55429.7799 +1.9570518e-04 3.003e-05 55429.7799 55429.7799 DMX_0043 
55461.6931 +1.4879432e-04 3.555e-05 55461.6931 55461.6931 DMX_0044 
55492.5636 +2.0079481e-04 3.868e-05 55492.5636 55492.5636 DMX_0045 
55520.4888 +2.4452506e-04 3.030e-05 55520.4888 55520.4888 DMX_0046 
55542.4718 +2.6085883e-04 3.532e-05 55542.4718 55542.4718 DMX_0047 
55578.3742 +2.2012446e-04 3.637e-05 55578.3742 55578.3742 DMX_0048 
55616.2256 +1.2609386e-04 2.579e-05 55616.2256 55616.2256 DMX_0049 
55639.2074 +1.3488703e-04 2.899e-05 55639.2074 55639.2074 DMX_0050 
55670.1211 +1.5546517e-04 2.375e-05 55670.1211 55670.1211 DMX_0051 
55700.0351 +1.2754712e-04 3.382e-05 55700.0351 55700.0351 DMX_0052 
55730.9548 +1.6595670e-04 2.424e-05 55730.9548 55730.9548 DMX_0053 
55765.8157 +1.1979597e-04 4.463e-05 55765.8157 55765.8157 DMX_0054 
55773.7934 +1.3879482e-04 4.137e-05 55773.7934 55773.7934 DMX_0055 
55799.7224 +1.1680413e-04 2.326e-05 55799.7224 55799.7224 DMX_0056 
55826.6602 +1.4090668e-04 3.020e-05 55826.6602 55826.6602 DMX_0057 
55863.5736 +2.1066246e-04 3.238e-05 55863.5736 55863.5736 DMX_0058 
55892.4846 +2.4792609e-04 2.559e-05 55892.4846 55892.4846 DMX_0059 
55918.4134 +2.7141502e-04 4.436e-05 55918.4134 55918.4134 DMX_0060 
55948.3316 +1.7489343e-04 3.121e-05 55948.3316 55948.3316 DMX_0061 
55976.3725 +2.0210489e-04 3.340e-05 55976.3725 55976.3725 DMX_0062 
56002.3357 +1.6962216e-04 2.894e-05 56002.3357 56002.3357 DMX_0063 
56034.1922 +1.6515835e-04 3.347e-05 56034.1922 56034.1922 DMX_0064 
