# Mean DMX value = -1.466260e-04 
# Uncertainty in average DM = 1.03951e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
57682.9407 -5.6955251e-04 9.716e-05 57682.8907 57682.9907 DMX_0001 
57712.3467 -5.3534650e-04 1.195e-04 57711.7839 57712.9095 DMX_0002 
57744.7726 +7.8803414e-03 2.157e-04 57744.7226 57744.8226 DMX_0003 
57745.7609 +1.1305139e-02 1.860e-04 57745.7109 57745.8109 DMX_0004 
57893.4202 +2.8491668e-04 1.083e-04 57893.3645 57893.4759 DMX_0005 
57921.8565 +2.3604658e-04 9.448e-05 57921.3007 57922.4123 DMX_0006 
57948.7880 +1.3374166e-04 9.374e-05 57948.2271 57949.3489 DMX_0007 
57978.2105 +2.9537093e-05 1.021e-04 57977.1468 57979.2742 DMX_0008 
58015.4760 -2.1289309e-04 8.131e-05 58014.9167 58016.0353 DMX_0009 
58047.3768 -1.0091783e-04 7.198e-05 58046.8513 58047.9023 DMX_0010 
58060.4271 -8.4899296e-05 7.577e-05 58059.8216 58061.0326 DMX_0011 
58094.7205 +1.8787182e-04 1.822e-04 58094.6650 58094.7761 DMX_0012 
58096.8238 +1.8685416e-04 7.191e-05 58096.7682 58096.8794 DMX_0013 
58133.7882 +2.5905533e-04 1.642e-04 58133.7382 58133.8382 DMX_0014 
58142.0676 +2.8880646e-04 8.419e-05 58141.5129 58142.6223 DMX_0015 
58161.2219 +3.6859294e-04 8.171e-05 58160.6661 58161.7777 DMX_0016 
58188.1477 +5.6548343e-04 1.064e-04 58187.5916 58188.7039 DMX_0017 
58217.0672 +5.6085977e-04 1.380e-04 58216.5083 58217.6260 DMX_0018 
58243.4663 +2.4905627e-04 9.606e-05 58243.4109 58243.5216 DMX_0019 
58270.7428 +4.3903022e-05 8.220e-05 58270.2064 58271.2791 DMX_0020 
58301.8355 +2.4770060e-05 1.080e-04 58301.2806 58302.3904 DMX_0021 
58335.6874 -1.0342553e-04 8.962e-05 58335.1376 58336.2371 DMX_0022 
58365.6352 -2.7697187e-04 6.678e-05 58365.0970 58366.1734 DMX_0023 
58397.5344 -3.8736372e-04 8.064e-05 58396.9848 58398.0840 DMX_0024 
58425.4547 -1.9007123e-04 8.466e-05 58424.9094 58425.9999 DMX_0025 
58460.8579 +2.2823754e-04 1.818e-04 58460.8079 58460.9079 DMX_0026 
58461.8569 +1.5467730e-04 9.332e-05 58461.8069 58461.9069 DMX_0027 
58489.8240 -3.7979561e-04 1.865e-04 58489.7740 58489.8740 DMX_0028 
58490.7661 -2.8502982e-04 8.497e-05 58490.7161 58490.8161 DMX_0029 
58517.1915 -5.7081732e-04 7.523e-05 58516.6287 58517.7544 DMX_0030 
58548.1141 -6.4480185e-04 8.683e-05 58547.6023 58548.6259 DMX_0031 
58582.0255 -9.9123741e-04 8.672e-05 58580.4770 58583.5740 DMX_0032 
58608.9518 -9.7009974e-04 8.293e-05 58608.3999 58609.5038 DMX_0033 
58635.8994 -9.6991915e-04 9.046e-05 58635.3686 58636.4302 DMX_0034 
58671.7829 -1.3659634e-03 9.301e-05 58671.2327 58672.3331 DMX_0035 
58699.7050 -1.3432798e-03 1.126e-04 58699.1519 58700.2582 DMX_0036 
58729.6172 -1.6180537e-03 9.551e-05 58729.0682 58730.1661 DMX_0037 
58759.5434 -1.4286298e-03 9.570e-05 58758.9928 58760.0940 DMX_0038 
58787.4650 -1.5743339e-03 9.160e-05 58786.9160 58788.0140 DMX_0039 
58826.8673 -1.2667585e-03 1.077e-04 58826.8173 58826.9173 DMX_0040 
58827.8668 -1.1497245e-03 2.233e-04 58827.8168 58827.9168 DMX_0041 
58848.8036 -5.6517565e-04 2.037e-04 58848.7536 58848.8536 DMX_0042 
58849.8044 -8.6294041e-04 9.023e-05 58849.7544 58849.8544 DMX_0043 
58882.2386 -1.5897495e-03 9.517e-05 58881.6850 58882.7921 DMX_0044 
58911.1300 -1.4934659e-03 9.244e-05 58910.5813 58911.6786 DMX_0045 
58945.0480 -1.4566728e-03 1.177e-04 58944.4900 58945.6061 DMX_0046 
