# Mean DMX value = -2.443260e-03 
# Uncertainty in average DM = 2.12277e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55135.8875 +2.0304180e-02 1.302e-03 55135.8278 55135.9471 DMX_0001 
55170.7881 +1.9970480e-02 1.344e-03 55170.7321 55170.8441 DMX_0002 
55205.6925 +1.9865261e-02 1.180e-03 55205.6307 55205.7544 DMX_0003 
55500.8704 +2.1321814e-02 1.645e-03 55500.8117 55500.9291 DMX_0004 
55638.4999 +2.2320586e-02 1.299e-03 55638.4417 55638.5582 DMX_0005 
55677.4051 +2.4292967e-02 1.304e-03 55677.3466 55677.4637 DMX_0006 
55701.3303 +2.2029887e-02 1.197e-03 55701.2714 55701.3891 DMX_0007 
55732.2162 +2.3595407e-02 1.186e-03 55732.1562 55732.2761 DMX_0008 
55760.1474 +2.2511973e-02 1.187e-03 55760.0877 55760.2072 DMX_0009 
55790.0617 +2.1463799e-02 1.209e-03 55790.0024 55790.1209 DMX_0010 
55818.9790 +2.0543292e-02 1.173e-03 55818.9181 55819.0399 DMX_0011 
55849.8946 +1.7736736e-02 1.144e-03 55849.8361 55849.9531 DMX_0012 
55876.8292 +1.5223482e-02 1.239e-03 55876.7697 55876.8886 DMX_0013 
55911.7270 +1.4194121e-02 1.159e-03 55911.6671 55911.7869 DMX_0014 
55935.6622 +1.3220946e-02 1.167e-03 55935.6017 55935.7226 DMX_0015 
55969.5717 +1.3815808e-02 1.092e-03 55969.5116 55969.6317 DMX_0016 
55997.5298 +1.6180497e-02 3.921e-04 55997.4702 55997.5894 DMX_0017 
56018.4515 +1.8138275e-02 3.841e-04 56018.3863 56018.5166 DMX_0018 
56058.3291 +2.1477085e-02 4.316e-04 56058.2682 56058.3900 DMX_0019 
56107.1925 +2.2167241e-02 8.544e-04 56107.1323 56107.2528 DMX_0020 
56137.1107 +2.1952595e-02 4.218e-04 56137.0499 56137.1715 DMX_0021 
56168.0311 +2.1314772e-02 4.305e-04 56167.9711 56168.0911 DMX_0022 
56249.7907 +1.9502016e-02 1.260e-03 56249.7407 56249.8407 DMX_0023 
56255.7793 +1.7459729e-02 1.252e-03 56255.7293 56255.8293 DMX_0024 
56290.6870 +1.6551400e-02 4.270e-04 56290.6282 56290.7458 DMX_0025 
56304.6476 +1.7143765e-02 4.007e-04 56304.5884 56304.7068 DMX_0026 
56326.5907 +1.7152976e-02 4.169e-04 56326.5306 56326.6508 DMX_0027 
56346.5275 +1.7631600e-02 1.071e-03 56346.4775 56346.5775 DMX_0028 
56367.4801 +1.5913801e-02 5.380e-04 56367.4214 56367.5388 DMX_0029 
56384.4352 +1.4944905e-02 4.307e-04 56384.3772 56384.4933 DMX_0030 
56407.3732 +1.5317604e-02 4.560e-04 56407.3128 56407.4337 DMX_0031 
56426.3131 +1.4397001e-02 9.184e-04 56426.2631 56426.3631 DMX_0032 
56467.2103 +1.3340753e-02 4.600e-04 56467.1504 56467.2702 DMX_0033 
56531.0280 +1.5337660e-02 5.384e-04 56530.9696 56531.0864 DMX_0034 
56569.9242 +1.5260719e-02 5.230e-04 56569.8659 56569.9824 DMX_0035 
56591.8615 +1.5279984e-02 5.121e-04 56591.8031 56591.9198 DMX_0036 
56609.8039 +1.5746508e-02 1.336e-03 56609.7539 56609.8539 DMX_0037 
56627.7734 +1.4065273e-02 7.496e-04 56627.7234 56627.8234 DMX_0038 
56647.7196 +1.1656231e-02 5.990e-04 56647.6696 56647.7696 DMX_0039 
56668.6898 +1.0347781e-02 5.801e-04 56668.6297 56668.7499 DMX_0040 
56737.4940 +8.0755642e-03 5.108e-04 56737.4340 56737.5540 DMX_0041 
56754.4467 +8.1737678e-03 6.905e-04 56754.3867 56754.5067 DMX_0042 
56842.2113 +2.6682630e-03 5.204e-04 56842.1512 56842.2714 DMX_0043 
56933.9641 +4.1478578e-03 5.020e-04 56933.9039 56934.0242 DMX_0044 
56969.8599 +4.2938671e-03 4.946e-04 56969.7997 56969.9201 DMX_0045 
56991.7988 +3.1673554e-03 4.615e-04 56991.7389 56991.8587 DMX_0046 
57019.7225 +2.0994032e-03 5.222e-04 57019.6624 57019.7827 DMX_0047 
57033.6890 +2.3408337e-03 1.088e-03 57033.6312 57033.7467 DMX_0048 
57040.6691 +3.0286204e-03 7.367e-04 57040.6101 57040.7281 DMX_0049 
57106.4773 -1.2703781e-03 4.509e-04 57106.4182 57106.5365 DMX_0050 
57124.4281 -2.4663453e-03 3.940e-04 57124.3689 57124.4872 DMX_0051 
57144.3752 -2.1938472e-03 4.183e-04 57144.3161 57144.4343 DMX_0052 
57208.1896 -4.2270651e-04 1.196e-03 57208.1396 57208.2396 DMX_0053 
57228.1352 -5.6509060e-04 1.079e-03 57228.0852 57228.1852 DMX_0054 
