# Mean DMX value = -8.681356e-05 
# Uncertainty in average DM = 1.48301e-05 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
53292.5294 +2.7099433e-03 6.495e-05 53291.8823 53293.1765 DMX_0001 
53799.4829 +2.1520028e-03 2.105e-05 53798.3316 53800.6343 DMX_0002 
53838.8715 +2.0527332e-03 2.283e-05 53838.2257 53839.5174 DMX_0003 
53858.8220 +2.0111576e-03 1.994e-05 53858.1698 53859.4743 DMX_0004 
53889.7378 +1.9385596e-03 1.830e-05 53889.0900 53890.3857 DMX_0005 
53980.9835 +1.8202459e-03 2.511e-05 53979.8399 53982.1271 DMX_0006 
54011.9021 +1.8324292e-03 1.910e-05 54009.7558 54014.0485 DMX_0007 
54036.3284 +1.8463391e-03 2.211e-05 54035.6868 54036.9700 DMX_0008 
54101.1574 +1.9145434e-03 2.259e-05 54100.5110 54101.8038 DMX_0009 
54134.0667 +1.6797262e-03 2.599e-05 54133.4178 54134.7156 DMX_0010 
54219.3345 +1.5541011e-03 2.504e-05 54218.1883 54220.4807 DMX_0011 
54374.4076 +1.5430045e-03 2.143e-05 54373.7559 54375.0593 DMX_0012 
54429.2558 +1.6035065e-03 2.070e-05 54428.6020 54429.9095 DMX_0013 
54527.9749 +1.5199113e-03 1.592e-05 54526.3323 54529.6174 DMX_0014 
54552.9194 +1.4392141e-03 2.054e-05 54552.2713 54553.5675 DMX_0015 
54579.8409 +1.4498170e-03 2.049e-05 54578.1960 54581.4858 DMX_0016 
54641.6727 +1.3967586e-03 2.117e-05 54641.0239 54642.3215 DMX_0017 
54708.9863 +1.3895941e-03 2.225e-05 54706.8437 54711.1289 DMX_0018 
54766.8324 +1.3726775e-03 2.018e-05 54764.6852 54768.9797 DMX_0019 
54795.7434 +1.3584266e-03 2.457e-05 54794.5884 54796.8983 DMX_0020 
54883.0143 +1.2946006e-03 1.914e-05 54880.3749 54885.6538 DMX_0021 
54914.9247 +1.1435314e-03 2.577e-05 54913.2786 54916.5708 DMX_0022 
