# Mean DMX value = -4.079686e-06 
# Uncertainty in average DM = 2.48796e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
56498.1682 +2.4879428e-03 7.919e-05 56498.1101 56498.2264 DMX_0001 
56510.0975 +2.6891327e-03 8.426e-05 56510.0475 56510.1475 DMX_0002 
56669.6518 +2.1533025e-03 7.268e-05 56669.5922 56669.7114 DMX_0003 
56739.4935 +1.9446125e-03 7.178e-05 56739.4348 56739.5522 DMX_0004 
56755.4133 +1.8444063e-03 8.657e-05 56755.3633 56755.4633 DMX_0005 
56844.1850 +1.5463911e-03 5.692e-05 56844.1350 56844.2350 DMX_0006 
56887.0618 +2.1537007e-03 1.028e-04 56887.0026 56887.1211 DMX_0007 
56932.9434 +1.4305426e-03 5.772e-05 56932.8841 56933.0027 DMX_0008 
56949.8827 +1.4193212e-03 6.634e-05 56949.8229 56949.9425 DMX_0009 
56970.8306 +1.5190277e-03 6.757e-05 56970.7711 56970.8902 DMX_0010 
56990.7742 +1.2690977e-03 4.848e-05 56990.7242 56990.8242 DMX_0011 
56997.8186 +1.3445955e-03 5.913e-05 56997.7617 56997.8755 DMX_0012 
57014.6962 +1.3121641e-03 5.129e-05 57014.6366 57014.7558 DMX_0013 
57053.6427 +1.2589609e-03 1.006e-04 57053.5836 57053.7018 DMX_0014 
57069.6206 +1.1671175e-03 1.503e-04 57069.5706 57069.6706 DMX_0015 
57096.5344 +1.1766243e-03 6.668e-05 57096.4755 57096.5933 DMX_0016 
57116.4889 +1.0840878e-03 7.481e-05 57116.4306 57116.5472 DMX_0017 
57137.4128 +9.3290019e-04 9.719e-05 57137.3542 57137.4715 DMX_0018 
57186.2792 +9.8044228e-04 5.399e-05 57186.2209 57186.3375 DMX_0019 
57200.2519 +9.5041733e-04 7.222e-05 57200.1941 57200.3098 DMX_0020 
57223.1783 +9.4636197e-04 8.870e-05 57223.1201 57223.2366 DMX_0021 
57240.1338 +8.9411885e-04 6.128e-05 57240.0757 57240.1918 DMX_0022 
57264.0695 +7.7615195e-04 4.789e-05 57264.0116 57264.1273 DMX_0023 
57305.9618 +6.9708936e-04 5.593e-05 57305.9038 57306.0199 DMX_0024 
57326.8905 +6.6616166e-04 5.538e-05 57326.8325 57326.9485 DMX_0025 
57347.8175 +7.2680803e-04 5.359e-05 57347.7610 57347.8741 DMX_0026 
