# Mean DMX value = +1.398901e-04 
# Uncertainty in average DM = 1.58426e-04 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55912.8678 +2.0137503e-04 7.131e-04 55912.7981 55912.9375 DMX_0001 
55989.6523 -1.2824267e-04 2.491e-04 55989.5988 55989.7058 DMX_0002 
56023.5500 -2.5077067e-04 5.480e-04 56023.4967 56023.6033 DMX_0003 
56057.4706 -7.8310780e-04 4.216e-04 56057.4059 56057.5354 DMX_0004 
56106.3360 -7.8165675e-05 2.848e-04 56106.2716 56106.4004 DMX_0005 
56140.2379 +7.8986535e-05 3.662e-04 56140.1687 56140.3072 DMX_0006 
56166.1696 -8.6306123e-04 3.979e-04 56166.1050 56166.2341 DMX_0007 
56202.0778 +1.2742714e-03 1.366e-03 56202.0244 56202.1312 DMX_0008 
56235.9864 +2.1127291e-03 1.257e-03 56235.9330 56236.0398 DMX_0009 
56277.8623 -5.9307316e-04 5.481e-04 56277.7982 56277.9263 DMX_0010 
56299.8059 +2.2217942e-05 3.150e-04 56299.7399 56299.8719 DMX_0011 
56319.7473 +5.8319535e-04 2.781e-04 56319.6840 56319.8106 DMX_0012 
56341.6806 +6.3693253e-04 3.164e-04 56341.6275 56341.7337 DMX_0013 
56346.6806 +9.0648055e-04 2.800e-04 56346.6306 56346.7306 DMX_0014 
56360.6437 -1.3128816e-03 1.116e-03 56360.5904 56360.6970 DMX_0015 
56399.5342 -2.2453403e-03 1.771e-03 56399.4842 56399.5842 DMX_0016 
56417.4801 -3.9857522e-04 2.852e-04 56417.4198 56417.5404 DMX_0017 
56438.4264 +2.6870203e-03 2.970e-03 56438.3764 56438.4764 DMX_0018 
56458.3545 +1.6352677e-05 2.081e-04 56458.2934 56458.4155 DMX_0019 
56479.2902 -3.6841230e-04 4.278e-04 56479.2376 56479.3428 DMX_0020 
56519.1785 +6.5433197e-04 3.152e-04 56519.1285 56519.2285 DMX_0021 
56531.1548 -8.3990886e-04 3.290e-04 56531.1048 56531.2048 DMX_0022 
56538.1306 -6.8349466e-04 5.545e-04 56538.0689 56538.1923 DMX_0023 
56558.0754 +1.4243434e-03 4.722e-04 56558.0142 56558.1366 DMX_0024 
56578.0130 +1.2134425e-03 4.996e-04 56577.9596 56578.0664 DMX_0025 
56598.9694 -2.5357323e-04 2.560e-04 56598.9078 56599.0310 DMX_0026 
56619.9295 -1.2669605e-03 1.090e-03 56619.8761 56619.9828 DMX_0027 
56640.8575 +4.8519542e-04 1.687e-03 56640.8042 56640.9108 DMX_0028 
56661.8181 +7.4921690e-04 4.028e-04 56661.7564 56661.8798 DMX_0029 
56669.7622 -2.7277429e-04 2.929e-04 56669.7083 56669.8162 DMX_0030 
56739.6107 +3.7077562e-04 1.638e-04 56739.5197 56739.7017 DMX_0031 
56755.5331 -2.5025913e-03 1.610e-03 56755.4792 56755.5870 DMX_0032 
56844.2961 -3.5079794e-04 3.345e-04 56844.2328 56844.3594 DMX_0033 
56869.2164 -3.5102661e-04 2.610e-04 56869.1625 56869.2703 DMX_0034 
56933.0532 -3.0868179e-04 2.347e-04 56932.9899 56933.1165 DMX_0035 
56950.0103 +4.5278855e-04 2.293e-04 56949.9469 56950.0736 DMX_0036 
56990.8857 -1.9452600e-04 4.812e-04 56990.8319 56990.9396 DMX_0037 
56992.8871 -3.5802168e-04 2.595e-04 56992.8239 56992.9502 DMX_0038 
57014.8178 -6.5818341e-04 4.721e-04 57014.7639 57014.8717 DMX_0039 
57075.6836 -1.3942585e-04 5.914e-04 57075.6287 57075.7385 DMX_0040 
57095.6147 -3.8473658e-04 3.445e-04 57095.5506 57095.6787 DMX_0041 
57117.5631 -9.7119291e-04 1.875e-04 57117.5089 57117.6173 DMX_0042 
57138.4987 -6.6967906e-04 3.929e-04 57138.4345 57138.5628 DMX_0043 
57185.3654 -1.1705398e-03 2.664e-04 57185.3014 57185.4295 DMX_0044 
57201.3260 -6.8783736e-04 2.866e-04 57201.2659 57201.3861 DMX_0045 
57234.2419 -1.7013287e-04 7.935e-04 57234.1877 57234.2960 DMX_0046 
57242.2097 -2.6747312e-04 2.256e-04 57242.1456 57242.2738 DMX_0047 
57265.1547 -6.7855279e-05 3.771e-04 57265.1009 57265.2086 DMX_0048 
57307.0416 -1.0615976e-03 2.387e-04 57306.9810 57307.1023 DMX_0049 
57327.9913 -9.9142539e-04 3.515e-04 57327.9372 57328.0455 DMX_0050 
57348.9168 -4.2655272e-04 3.576e-04 57348.8527 57348.9809 DMX_0051 
57376.8616 +5.5889720e-04 4.369e-04 57376.7975 57376.9257 DMX_0052 
57410.7562 -5.5006719e-04 4.409e-04 57410.7027 57410.8096 DMX_0053 
57433.6941 -6.2343859e-04 4.040e-04 57433.6407 57433.7475 DMX_0054 
57508.5298 -2.2261429e-04 3.540e-04 57508.4678 57508.5918 DMX_0055 
57536.4141 -1.9851880e-04 2.774e-04 57536.3521 57536.4761 DMX_0056 
57557.3404 -8.6872787e-04 3.516e-04 57557.2784 57557.4023 DMX_0057 
57579.2897 +2.9203556e-04 4.870e-04 57579.2364 57579.3431 DMX_0058 
57594.2491 -3.5842097e-04 3.037e-04 57594.1871 57594.3110 DMX_0059 
57622.1687 -4.0369505e-04 3.305e-04 57622.1068 57622.2307 DMX_0060 
57640.1257 -2.8312816e-03 2.145e-03 57640.0757 57640.1757 DMX_0061 
57667.0486 -1.2729983e-03 1.232e-03 57666.9952 57667.1021 DMX_0062 
57686.9855 -9.2366871e-05 3.622e-04 57686.9236 57687.0474 DMX_0063 
57710.9285 +1.3502547e-04 4.289e-04 57710.8751 57710.9819 DMX_0064 
57733.8605 +7.3033530e-04 3.436e-04 57733.8019 57733.9191 DMX_0065 
57752.8111 -2.5727213e-04 3.073e-04 57752.7491 57752.8730 DMX_0066 
57775.7510 -1.0041912e-04 3.663e-04 57775.6976 57775.8045 DMX_0067 
57789.7075 +1.1010102e-03 4.507e-04 57789.6489 57789.7662 DMX_0068 
57804.6722 +6.7050532e-04 4.416e-04 57804.6188 57804.7256 DMX_0069 
